Starting at 0604-1336-15
parameters: {'dataset': 'tripadvisor', 'model_folder': 'models/VDCNN/VDCNN_tripadvisor_depth@29', 'depth': 29, 'maxlen': 1024, 'shortcut': False, 'shuffle': False, 'chunk_size': 2048, 'batch_size': 128, 'test_batch_size': 128, 'iterations': 5000, 'lr': 0.01, 'lr_halve_interval': 15000.0, 'class_weights': None, 'test_interval': 5000, 'gpu': True, 'seed': 1337, 'last_pooling_layer': 'k-max-pooling'}
dataset: TripAdvisor, n_classes: 2
  - loading dataset...
  - loading train samples...
  - loading train samples... 63550 samples
  - loading test samples...
  - loading test samples... 15888 samples
  - txt vectorization...
  - txt train/test min/max: [0|234] [0|232]
TripAdvisor - Iter [1/5000] - train metrics: {'accuracy': 0.5390625, 'logloss': 1.4252940022852272}
TripAdvisor - Iter [2/5000] - train metrics: {'accuracy': 0.96875, 'logloss': 1.0680462121963501}
TripAdvisor - Iter [3/5000] - train metrics: {'accuracy': 0.984375, 'logloss': 0.53966838121414185}
TripAdvisor - Iter [4/5000] - train metrics: {'accuracy': 0.9765625, 'logloss': 0.80950257182121277}
TripAdvisor - Iter [5/5000] - train metrics: {'accuracy': 0.984375, 'logloss': 0.53966838121414185}
TripAdvisor - Iter [6/5000] - train metrics: {'accuracy': 0.9921875, 'logloss': 0.26983419060707092}
TripAdvisor - Iter [7/5000] - train metrics: {'accuracy': 0.9921875, 'logloss': 0.26983419060707092}
TripAdvisor - Iter [8/5000] - train metrics: {'accuracy': 0.9921875, 'logloss': 0.26983419060707092}
TripAdvisor - Iter [9/5000] - train metrics: {'accuracy': 0.984375, 'logloss': 0.53966838121414185}
TripAdvisor - Iter [10/5000] - train metrics: {'accuracy': 0.9921875, 'logloss': 0.26983419060707092}
TripAdvisor - Iter [11/5000] - train metrics: {'accuracy': 0.984375, 'logloss': 0.53966838121414185}
TripAdvisor - Iter [12/5000] - train metrics: {'accuracy': 0.984375, 'logloss': 0.53966838121414185}
TripAdvisor - Iter [13/5000] - train metrics: {'accuracy': 0.9921875, 'logloss': 0.26983419060707092}
TripAdvisor - Iter [14/5000] - train metrics: {'accuracy': 0.9375, 'logloss': 2.1586735248565674}
TripAdvisor - Iter [15/5000] - train metrics: {'accuracy': 0.9609375, 'logloss': 1.3491709530353546}
TripAdvisor - Iter [16/5000] - train metrics: {'accuracy': 0.984375, 'logloss': 0.53966838121414185}
TripAdvisor - Iter [17/5000] - train metrics: {'accuracy': 0.9609375, 'logloss': 1.3491709530353546}
TripAdvisor - Iter [18/5000] - train metrics: {'accuracy': 0.984375, 'logloss': 0.53966838121414185}
TripAdvisor - Iter [19/5000] - train metrics: {'accuracy': 0.9765625, 'logloss': 0.80950257182121277}
TripAdvisor - Iter [20/5000] - train metrics: {'accuracy': 1.0, 'logloss': -1}
TripAdvisor - Iter [21/5000] - train metrics: {'accuracy': 0.984375, 'logloss': 0.53966838121414185}
TripAdvisor - Iter [22/5000] - train metrics: {'accuracy': 0.9765625, 'logloss': 0.8086191713809967}
TripAdvisor - Iter [23/5000] - train metrics: {'accuracy': 0.9609375, 'logloss': 1.3453077673912048}
TripAdvisor - Iter [24/5000] - train metrics: {'accuracy': 0.9921875, 'logloss': 0.26945728063583374}
TripAdvisor - Iter [25/5000] - train metrics: {'accuracy': 0.984375, 'logloss': 0.53966838121414185}
TripAdvisor - Iter [26/5000] - train metrics: {'accuracy': 0.9921875, 'logloss': 0.26983419060707092}
TripAdvisor - Iter [27/5000] - train metrics: {'accuracy': 0.9765625, 'logloss': 0.80950257182121277}
TripAdvisor - Iter [28/5000] - train metrics: {'accuracy': 1.0, 'logloss': -1}
TripAdvisor - Iter [29/5000] - train metrics: {'accuracy': 0.9765625, 'logloss': 0.80950257182121277}
TripAdvisor - Iter [30/5000] - train metrics: {'accuracy': 1.0, 'logloss': -1}
TripAdvisor - Iter [31/5000] - train metrics: {'accuracy': 0.984375, 'logloss': 0.53966838121414185}
TripAdvisor - Iter [32/5000] - train metrics: {'accuracy': 0.984375, 'logloss': 0.53966838121414185}
TripAdvisor - Iter [33/5000] - train metrics: {'accuracy': 0.9921875, 'logloss': 0.26983419060707092}
TripAdvisor - Iter [34/5000] - train metrics: {'accuracy': 0.9921875, 'logloss': 0.26983419060707092}
TripAdvisor - Iter [35/5000] - train metrics: {'accuracy': 0.9921875, 'logloss': 0.26983419060707092}
TripAdvisor - Iter [36/5000] - train metrics: {'accuracy': 1.0, 'logloss': -1}
TripAdvisor - Iter [37/5000] - train metrics: {'accuracy': 0.984375, 'logloss': 0.53966838121414185}
TripAdvisor - Iter [38/5000] - train metrics: {'accuracy': 0.984375, 'logloss': 0.53966838121414185}
TripAdvisor - Iter [39/5000] - train metrics: {'accuracy': 0.9921875, 'logloss': 0.26983419060707092}
TripAdvisor - Iter [40/5000] - train metrics: {'accuracy': 0.9609375, 'logloss': 1.3491709530353546}
TripAdvisor - Iter [41/5000] - train metrics: {'accuracy': 0.9765625, 'logloss': 0.80950257182121277}
TripAdvisor - Iter [42/5000] - train metrics: {'accuracy': 0.9765625, 'logloss': 0.80950257182121277}
TripAdvisor - Iter [43/5000] - train metrics: {'accuracy': 0.9765625, 'logloss': 0.80950257182121277}
TripAdvisor - Iter [44/5000] - train metrics: {'accuracy': 0.984375, 'logloss': 0.53966838121414185}
TripAdvisor - Iter [45/5000] - train metrics: {'accuracy': 0.984375, 'logloss': 0.53966838121414185}
TripAdvisor - Iter [46/5000] - train metrics: {'accuracy': 0.9921875, 'logloss': 0.26983419060707092}
TripAdvisor - Iter [47/5000] - train metrics: {'accuracy': 0.9765625, 'logloss': 0.80950257182121277}
TripAdvisor - Iter [48/5000] - train metrics: {'accuracy': 0.9921875, 'logloss': 0.26983419060707092}
TripAdvisor - Iter [49/5000] - train metrics: {'accuracy': 0.9921875, 'logloss': 0.26983419060707092}
TripAdvisor - Iter [50/5000] - train metrics: {'accuracy': 0.9921875, 'logloss': 0.26983419060707092}
TripAdvisor - Iter [51/5000] - train metrics: {'accuracy': 0.9921875, 'logloss': 0.26983419060707092}
TripAdvisor - Iter [52/5000] - train metrics: {'accuracy': 0.9765625, 'logloss': 0.80950257182121277}
TripAdvisor - Iter [53/5000] - train metrics: {'accuracy': 0.9921875, 'logloss': 0.26983419060707092}
TripAdvisor - Iter [54/5000] - train metrics: {'accuracy': 0.984375, 'logloss': 0.53966838121414185}
TripAdvisor - Iter [55/5000] - train metrics: {'accuracy': 0.9921875, 'logloss': 0.26983419060707092}
TripAdvisor - Iter [56/5000] - train metrics: {'accuracy': 0.96875, 'logloss': 1.0793367624282837}
TripAdvisor - Iter [57/5000] - train metrics: {'accuracy': 0.984375, 'logloss': 0.53966838121414185}
TripAdvisor - Iter [58/5000] - train metrics: {'accuracy': 1.0, 'logloss': -1}
TripAdvisor - Iter [59/5000] - train metrics: {'accuracy': 1.0, 'logloss': -1}
TripAdvisor - Iter [60/5000] - train metrics: {'accuracy': 0.9921875, 'logloss': 0.26983419060707092}
TripAdvisor - Iter [61/5000] - train metrics: {'accuracy': 1.0, 'logloss': -1}
TripAdvisor - Iter [62/5000] - train metrics: {'accuracy': 0.984375, 'logloss': 0.53966838121414185}
TripAdvisor - Iter [63/5000] - train metrics: {'accuracy': 0.9921875, 'logloss': 0.26983419060707092}
TripAdvisor - Iter [64/5000] - train metrics: {'accuracy': 1.0, 'logloss': -1}
TripAdvisor - Iter [65/5000] - train metrics: {'accuracy': 0.984375, 'logloss': 0.53966838121414185}
TripAdvisor - Iter [66/5000] - train metrics: {'accuracy': 0.9765625, 'logloss': 0.80950257182121277}
TripAdvisor - Iter [67/5000] - train metrics: {'accuracy': 0.984375, 'logloss': 0.53966838121414185}
TripAdvisor - Iter [68/5000] - train metrics: {'accuracy': 0.9921875, 'logloss': 0.26983419060707092}
TripAdvisor - Iter [69/5000] - train metrics: {'accuracy': 0.984375, 'logloss': 0.53966838121414185}
TripAdvisor - Iter [70/5000] - train metrics: {'accuracy': 0.96875, 'logloss': 1.0793367624282837}
TripAdvisor - Iter [71/5000] - train metrics: {'accuracy': 0.9765625, 'logloss': 0.80950257182121277}
TripAdvisor - Iter [72/5000] - train metrics: {'accuracy': 1.0, 'logloss': -1}
TripAdvisor - Iter [73/5000] - train metrics: {'accuracy': 1.0, 'logloss': -1}
TripAdvisor - Iter [74/5000] - train metrics: {'accuracy': 0.96875, 'logloss': 1.0793367624282837}
TripAdvisor - Iter [75/5000] - train metrics: {'accuracy': 0.984375, 'logloss': 0.53966838121414185}
TripAdvisor - Iter [76/5000] - train metrics: {'accuracy': 0.984375, 'logloss': 0.53966838121414185}
TripAdvisor - Iter [77/5000] - train metrics: {'accuracy': 0.984375, 'logloss': 0.53966838121414185}
TripAdvisor - Iter [78/5000] - train metrics: {'accuracy': 0.984375, 'logloss': 0.53966838121414185}
TripAdvisor - Iter [79/5000] - train metrics: {'accuracy': 0.9765625, 'logloss': 0.80950257182121277}
TripAdvisor - Iter [80/5000] - train metrics: {'accuracy': 0.984375, 'logloss': 0.53966838121414185}
TripAdvisor - Iter [81/5000] - train metrics: {'accuracy': 0.9765625, 'logloss': 0.80950257182121277}
TripAdvisor - Iter [82/5000] - train metrics: {'accuracy': 0.9765625, 'logloss': 0.80950257182121277}
TripAdvisor - Iter [83/5000] - train metrics: {'accuracy': 0.984375, 'logloss': 0.53966838121414185}
TripAdvisor - Iter [84/5000] - train metrics: {'accuracy': 0.96875, 'logloss': 1.0793367624282837}
TripAdvisor - Iter [85/5000] - train metrics: {'accuracy': 1.0, 'logloss': -1}
TripAdvisor - Iter [86/5000] - train metrics: {'accuracy': 0.9765625, 'logloss': 0.80950257182121277}
TripAdvisor - Iter [87/5000] - train metrics: {'accuracy': 0.96875, 'logloss': 1.0793367624282837}
TripAdvisor - Iter [88/5000] - train metrics: {'accuracy': 0.9921875, 'logloss': 0.26983419060707092}
TripAdvisor - Iter [89/5000] - train metrics: {'accuracy': 1.0, 'logloss': -1}
TripAdvisor - Iter [90/5000] - train metrics: {'accuracy': 0.9921875, 'logloss': 0.26983419060707092}
TripAdvisor - Iter [91/5000] - train metrics: {'accuracy': 0.9921875, 'logloss': 0.26983419060707092}
TripAdvisor - Iter [92/5000] - train metrics: {'accuracy': 0.9765625, 'logloss': 0.80950257182121277}
TripAdvisor - Iter [93/5000] - train metrics: {'accuracy': 0.96875, 'logloss': 1.0793367624282837}
TripAdvisor - Iter [94/5000] - train metrics: {'accuracy': 0.984375, 'logloss': 0.53966838121414185}
TripAdvisor - Iter [95/5000] - train metrics: {'accuracy': 0.984375, 'logloss': 0.53966838121414185}
TripAdvisor - Iter [96/5000] - train metrics: {'accuracy': 0.984375, 'logloss': 0.53966838121414185}
TripAdvisor - Iter [97/5000] - train metrics: {'accuracy': 0.9765625, 'logloss': 0.80950257182121277}
TripAdvisor - Iter [98/5000] - train metrics: {'accuracy': 0.9921875, 'logloss': 0.26983419060707092}
TripAdvisor - Iter [99/5000] - train metrics: {'accuracy': 0.984375, 'logloss': 0.53966838121414185}
TripAdvisor - Iter [100/5000] - train metrics: {'accuracy': 0.9921875, 'logloss': 0.26983419060707092}
TripAdvisor - Iter [101/5000] - train metrics: {'accuracy': 0.9765625, 'logloss': 0.80950257182121277}
TripAdvisor - Iter [102/5000] - train metrics: {'accuracy': 0.9765625, 'logloss': 0.80950257182121277}
TripAdvisor - Iter [103/5000] - train metrics: {'accuracy': 0.9921875, 'logloss': 0.26983419060707092}
TripAdvisor - Iter [104/5000] - train metrics: {'accuracy': 0.9765625, 'logloss': 0.80950257182121277}
TripAdvisor - Iter [105/5000] - train metrics: {'accuracy': 0.984375, 'logloss': 0.53966838121414185}
TripAdvisor - Iter [106/5000] - train metrics: {'accuracy': 0.984375, 'logloss': 0.53966838121414185}
TripAdvisor - Iter [107/5000] - train metrics: {'accuracy': 0.9921875, 'logloss': 0.26983419060707092}
