bubbleCount,title,text
5,Lindo e lotado! ,"Falar que é emocionante subir até lá todo mundo sabe! Quero lembrar aqui do quanto é cansativo apenas para que se preparem. A subida de bondinho vale muito a pena, chegando lá tem um bom tanto de degraus pra subir até chegar no Cristo (tem..."
5,Fenomenal,"Um lugar realmente abençoado. Estando la se sente toda energia do lugar, sem contar a vista de tirar o fôlego"
5,Sensacional!,"Não tem como não se emocionar em vê-lo de perto e principalmente ter a vista privilegiada e linda do Rio de Janeiro!
Atendimento educado e prestativo dos funcionários!"
5,Lindo Demais,"Toda vez que vou no Rio tenho que ir no Corcovado. É lindo demais, gratificante, tem uma capela com Nossa Senhora bem debaixo do Cristo. A concorrência para tirar fotos é muitas. Tem ir de trenzinho que é muito bom subindo pela floresta. Vista deslumbrante..."
4,Visita Obrigatória ,"Vale muito a pena. E vale sim ir de trem.
Cuidado la em cima com dias de muito calor. Tem alguma escadaria para subir também. Vistas deslumbrantes do Rio."
5,debaixo do Cristo,"Esse é um dos meus passeios preferidos, sempre levo parentes e amigos de outros estados nos sentimos abençoados por Cristo"
5,Incrivel!,"Lugar sensacional com uma vista linda.Eu recomendo subir de trem ,achei bem legal,tranquilo uma paz."
5,Um dia no Rio,"Ótimo, perfeito, super indico, aquém não foi ainda é quando for vá com a Passeio Rio, para ser mais inesquecível ainda...."
5,Lindo,"Amo ver o “Cristo” olhando para todos nós. É realmente uma maravilha do mundo moderno, linda. Pena que a “visão” do Rio não deve ser a melhor para ELE. Muita violência acaba com uma das cidades mais lindas que já conheci."
5,Visita,"Vale a pena, mas faça logo cedo. Pois mais tarde é muito quente.
Por ser ponto turístico tem muitos turistas o dia todo."
5,Indescritivel,"Tinha muita gente, como sempre. Aconselho sempre ir o mais cedo possivel. E nem pensse ir de carro propio, isto e impossivel, pois tera de estacionar e ir andando. Nada facil. Use bondinho, taxi ou outro meio."
5,MARAVILHOSO,"Realmente maravilho!
Uma vista espetacular para toda a cidade!
É um previlégio conhecer um ponto turístico como este!
Quem vem ao Rio não pode deixar de visitar!"
4,Como nos Postais,Vista maravilhosa. Muito cheio como já era esperado. Ruim são os taxistas embaixo abordando a todos oferecendo o passeio. Tudo muito caro.
4,Passeio turístico,Linda vista do Rio. Já fui algumas vezes e na última visita não achei a parte de alimentação e lembranças tão caras como já foram. Um bom passeio para cariocas e turistas. Em dias nublados a visibilidade pode ficar ruim.
5,"Lugar de beleza indescritivel, só indo pra ver","pode ir de trem ou de van, mas de trem você passa dentro da floresta. Lá de cima você tem uma visão maravilhosa da cidade. Lugar com otima infraestrutura"
5,Névoa,"Quando fui havia muito nevoeiro, não dava pra ver a cidade e o mar direito, quem quer curtir o mirante tem que ser em dia ensolarado. Mesmo assim foi muito bonito."
5,Perto de céu ,"Como é que se vive sem o Corcovado , em outros lugares? Pois então, e desta forma que se pensa enquanto se disfruta da vista do mar e de tudo mais que se eh permitido receber lá em cima, perto do céu"
5,A melhor vista do Rio de Janeiro,"O impacto ao ver a vista maravilhosa de 360 graus de todo o Rio, faz esse passeio se tornar inesquecível. A imagem do Cristo abençoando a cidade , seja de manhã, a tarde ou à noite é linda! Vale a pena😎😍"
5,Perfeito,"Lugar mágico, clima perfeito, tudo uma maravilha. Vista incrível, super recomendo, espero voltar em breve"
5,Melhor vista do Rio de janeiro,"Sensação incrível de star aos pés do Cristo, lugar que reúne opções para todos os gostos, romântico, familiar, aventureiro.
Ótimo passeio, tanto de van quanto de trenzinho."
4,Cheio!!,"Vá preparado para enfrentar longas filas (principalmente na alta estação).
Valores das lojas e restaurantes são de asustar."
5,Cartão Postal do Brasil!!!,"Quando se está no exterior e você diz que é do Brasil, a primeira imagem que vem na mente do estrangeiro é a do Cristo Redentor. Holywood sempre utiliza em seus filmes quando menciona o Brasil em seus filmes. Vale muito a pena a visita,..."
5,O local e de facil acesso e possui muitas belezas naturais,Excelente passeio e com uma floresta muito exuberante pelo caminho ds Paineiras com uma van que sai do Largo do Machado.
5,Impossivel não visitar,"Não tem como ir ao Rio de Janeiro e não visitar o Cristo Redentor. A vista é incrivel e a gente se sente abençoado de verdade. Achei de boa o acesso e bem estruturado,fui com meu filho e amamos!"
5,Principal cartão Postal do Rio...,"Lugar maravilhoso, visão perfeita da Zona Sul da cidade, 360 graus de pura beleza do alto do Corcovado, visita imperdível na cidade."
5,Beleza ,Local excelente pra ser visitado! Tem que ir! Acho que vale a subida no bondinho! Preste atenção com dias muito nublados onde não há visibilidade pois fica ruim
5,Mirante incrivel,"Local com um visual inesquecivel e mostrando bem o dois lados do Rio de Janeiro.
Amo lembrar dos momentos que estive por la."
4,Vale à visita,"Bom programa para conhecer de cima a cidade do Rio, o assédio dos taxistas e ambulantes na estação do trem é bem desagradável. As opções de comida lá no alto também deixam a desejar."
5,Para curtir e se apaixonar.,"Um lugar coberto por uma aura especial, com uma das vistas mais bonitas do Rio.
Vale a pena a visita.👍"
5,A estátua ArtDeco mais famosa do mundo,"Uma das 7 maravilhas do mundo , a visita ao Cristo Redentor é um passeio imperdível para que vem passear no Rio de Janeiro. Engastado no alto de uma montanha, de onde se tem uma vista espetacular da Baia de Guanabara, o monumento pode ser acessado por carro, van ou trenzinho. O local é provido de escadas rolantes e de elevador. O ingresso é vendido apenas pela internet e aconselho fazer uma pesquisa pela internet para obter informações detalhadas sobre como chegar lá em sites como o visit.rio, oriodejaneiro.com e tremdocorcovado.rio, entre outros. Procure ir num dia de céu claro para poder desfrutar melhor da vista.   Pessoalmente, prefiro apreciar a paisagem durante o dia do que à noite."
3,Vista maravilhosa mas sem conservação,"É o local mais emocionante e incrível do Rio,Mas falta melhor conservação das instalações,banheiro e a igrejinha."
5,Turístico com transcendência.,"Além de uma visão ampla da cidade do Rio de Janeiro, para aqueles mais religiosos uma experiência transcendente."
5,magnífico,"magnífico, uma vista incrível em um ambiente emblemático. Ponto obrigatório na cidade. Altamente recomendável."
4,Legal,"A vista é linda! O lugar é emocionante
Porém é muito cheio, deu pra aproveitar pouco pelo preço caro :(("
5,Lindo local.,"Um lindo lugar, com uma natureza exuberante. O local conta com uma boa estrutura e com boa acessibilidade. O acesso é feito por intermédio de vans ou utilizando um tradicional trem."
5,Espetacular,Um dos melhores pontos turísticos do Rio de Janeiro. Ficar aos pés do Cristo é uma sensação indescritível.
5,Lindo. ,"O Corcovado é um lugar sem explicação, o Cristo Redentor é um monumento muito lindo. A vista da cidade é linda e vale a pena visita."
5,Passeio imperdível,Quem visitou o Rio de Janeiro e não foi ao Cristo Redentor não veio a Rio. Um dos locais mais lindos da cidade.
5,Cidade Maravilhosa,"Lugar lindo, e uma vista linda da Cidade Maravilhosa.
Fica localizado na Zona Sul do Rio de Janeiro."
5,Andar nas Paineiras e depois subir no Cristo!!PROGRAMÃO!!,Imperdível passeio para turistas e moradores da cidade.Para maiores de 60 Anos o ingresso é bem baratinho!
5,Delicioso,Sempre um passeio agradável. Do passeio de trem à vista maravilhosa. Sempre uma ótima opção pra se fazer em família.
5,Símbolo do Rio de Janeiro,"Em uma cidade situada pela violência do tráfico de drogas, só recorrendo à fé para se manter esperançoso em dias melhores. Cristo Redentor é um símbolo de que o rio pode voltar a ser a cidade maravilhosa."
5,Um ícone do Rio de Janeiro,"É um local imperdível quando estiver no Rio de Janeiro. No entanto na alta temporada fica cheio demais e a compra do ingresso para o trem precisa ser com antecedência. De qualquer forma de o dia estiver claro vale muito a pena
Boa vusita"
5,Vale a pena essa visita,"Adorei conhecer o Cristo Redentor, é uma caminhado já até chegar lá, tem um trenzinho e depois é preciso super algumas escadas, mas nada impossível, vale a pena o esforço, chegando lá a vista é surpreendente e emocionante, uma visita primordial a você que irá conhecer o Rio, um ponto turístico que não pode faltar, super recomendo."
5,Organização Impecável,"A visita estava lotada, mas a organização do Parque funciona perfeitamente, a dica fica para subir de Elevador, mas descer pela Escada para conhecer tudo."
5,UM CARTAO POSTAL LINDO,"Nossa primeira vez no Rio só tinha que começar no Cristo Redentor, subimos o Corcovado com um guia, forma mais completa de saber de tudo no Rio. Do Cristo, vimos toda a cidade é nos orientamos muito melhor nessa visita. O Rio é bem mais..."
3,É encantador mas acho caro.,"Apesar de ser um ponto imperdível, é caro e a depender da época, vai ser uma disputa grande conseguir tirar uma foto pela quantidade de turistas."
5,Organização surpreendeu...,Voltamos ao Corcodavo 6 anos depois da primeira visita e fomos surpreendidos por um show de organização desde a saída das Vans em Copacabana. O centro de visitantes com restaurantes e loja é um belo Hub para os turistas. Do alto do morro não tem...
4,Vista maravilhosa,"A vista é incrível. Fui no final da tarde, cerca de 17h e assisti o por do sol. Estava cheio oque nao ajudou muito para as fotos, mas a experiencia foi otima"
5,Linda vista!,"O Cristo é, juntamente com o Pão de Açúcar, um dos pontos turísticos mais famosos do mundo. O local é apertado, mas a vista e a estátua te deixarão sem fôlego."
4,Monumento lindo.,"Cuidado na subida se for de carro. Vai ter vários indivíduos querendo te explorar. Não pare até chegar na entrada onde vc paga um absurdo para uma van te levar até lá no topo.
A visão vale a pena."
5,Vista espetacular!,"O passeio é maravilhoso, aconselho aos turistas estrangeiros a irem no bondinho ou em transporte contratado, não se deve arriscar ir por conta própria para não correrem o risco de se perder.  Uma vez no alto da montanha e ao lado do monumento, será possível desfrutar de uma vista espetacular da cidade do Rio de Janeiro."
4,Vista incrível,"Dica mais importante: Se vc estiver hospedado em Copacabana ou Ipanema, pegue as vans dos primeiros horários que sobem direto para o Cristo. Nos primeiros horários tem poucas pessoas e é ótimo para tirar aquela selfie com o filho do Senhor. :)"
5,Carnaval 2018 no rio de janeiro,Excelente lindo o lugar o passeio de trenzinho no meio da floresta e lindo . lá de cima se vê o Rio todo . a paisagem e mRavilhosa
