bubbleCount,title,text
4,"O mais completo que já fui, vá preparado para andar muito.","Compre o ingresso na hora, há meia entrada para estudantes, etc. O lugar é bem completo, pecando minimamente em alguns detalhes. Há pontos bem legais para tirar foto. Tente ir com tênis e roupas confortáveis, água também. Dica: Tente visitar o Parque Laje também, são poucos minutos de caminhada na mesma rua. Nem vale a pena pegar Uber."
5,"Lindo, lindo, lindo...","Não canso de visitar o Jardim Botânico quando estou no Rio. Um local calmo, agradável e ótimo para meditar. Como ele é muito grande, o ideal é visitá-lo durante uma manhã ou tarde. Sendo assim, é bom levar alguma comida pronta e água. E se a garrafinha secar, não se preocupe, pois o local possui diversos bebedouros de água natural potável. O meu descontentamento vai para o péssimo atendimento das moças nos caixas (de ingressos) e dos servidores que fazem a segurança, que estão sempre chateados e de cara feia com qualquer coisa, inclusive com os visitantes."
5,Espetacular,"Local perfeito, você encontrará plantas e flores de diversos tipos. Tem um orquidário muito bonito.Vale a visita"
5,Visitem pelo menos uma vez,"O Jardim botânico é um lugar de calmaria nessa grande cidade. As plantas, as flores, o clima, tudo é é maravilhoso e irresistível. Programa perfeito para um final de semana ou para uma tarde preguiçosa. Não vá embora do Rio sem visitá-lo ao menos uma vez."
4,Passeio maravilhoso,"O Jardim Botânico do Rio é um lugar lindo e para quem gosta de contato com natureza, com certeza, vale a pena. Tem uma infinidade de espécies de plantas. Meus lugares favoritos são o cactário e a parte das orquídeas. Infelizmente o jardim não está tão conservado como deveria, mas ainda é um passeio muito bom. Tem uma cafeteira lá dentro, não é das melhores e achei muito cara para o que oferece, contudo é legal parar lá e tomar um café na companhia dos saguis. "
4,Caminhada,"Acho este lugar lindo, vale a visita! Tem opções de restaurantes, são bem charmosos, não sei se a comida é boa! O parque oferece um carrinho que percorre todo o Jardim, não é muito organizado o esquema, não existe fila e só saem de 20 em 20 minutos e o motorista vai mudo, falta um treinamento, ele deveria falar durante o trajeto, o que é que o turista está vendo. Mas ainda assim, vale a pena!"
4,Vale a visita,"Mesmo não tendo muito o que fazer, vale a visita. Ótimo local para fotos e passeio. Além disso, há muitas plantas lindas."
5,Muito bom,"Lugar ótimo para fazer um lazer com adolescentes, tudo muito limpo e bonito. Vale muito a pena passar um dia nesse Lugar!!!"
5,Maravilhoso,"O lugar é lindo, as informações foram muito interessantes. Vai ficar pra sempre em minha memória! Bom demais!"
5,Enorme!,Muito bom pra caminhar e conhecer o parque. Aliás caminhar bastante. Pra quem curte muito a natureza este é um lugar pra incluir no roteiro.
5,Natureza e paz! Lindo lugar,"Bela escolha como um dos pontos turísticos do RJ, amplo, indicado para qualquer faixa etária e muito requisitado para ensaios fotográficos.
Lindo local e ótima opção de passeio no Rio de Janeiro."
5,Descanso,"Programa infantil da melhor qualidade. Natureza, sombra, água fresca, brinquedos, café, paisagem, cenário para fotos lindas e muito mais."
5,Linda paisagem,"Belo passeio , belas arvores, lugar agradabilissimo, bucólico ,lembra o Rio antigo com excelente estacionamento e restaurante agradável.Recomendo uma viagem na história do Rio de janeiro.Não perca esta oportunidade pertinho da gávea."
5,"Mostra de arte, a natureza como artista.","O Jardim Botânico do Rio é um deleite! As árvores são verdadeiras esculturas produzidas durante anos! Além disso, o lugar é excelente para quem quer fugir um pouco do calor. Sempre tem uma brisa suave, dessas que faz o tempo passar mais lentamente. Uma delicia! Se você gosta de história, visite a antiga Casa de Paiol. Uma construção do tempo do Império, cheia de segredos e curiosidades sobre o parque. Abuse das fotos, o JB é daqueles lugares que qualquer ângulo sai lindo, então registre! Por fim, não deixe de aproveitar o charmoso café. Você vai se sentir num filme. Não é à toa que o lugar se tornou o preferido de Tom Jobim!"
5,Das proezas do Rio,"Claro, pensar numa viagem ao Rio de Janeiro inclui o desejo de conhecer as praias da Zona Sul carioca, os pontos turísticos do Centro e, se for em época de Carnaval, aquela passagem básica pela Sapucaí. Pois bem! Aproveite e faça tudo isso. Mas inclua em seu passeio uma ida ao Jardim Botânico. Trata-se de um lugar encantador, que encanta pela biodiversidade de espécies naturais e animais e, de quebra, que garante uma caminhada em meio ao verde. E, claro, trata-se de uma ótima oportunidade para conhecer um pouco de história. Mas nem tudo são flores - desculpem o trocadilho, porque por lá existem lindas espécies (rs). Diante do cenário de insegurança que envolve a cidade a segurança deve ser mais do que redobrada. Os acessos ao local - principalmente dos lados externos - envolve atenção, principalmente, por conta de furtos. Felizmente, nunca aconteceu comigo, mas já ouvi relatos sobre. No mais, conheça!"
5,VISITE O JARDIM BOTÂNICO,"lugar lindo, muitas familias visitando, lugar seguro, fácil acesso , um lugar para apreciar a calma e a beleza da natureza"
5,Lindo e inspirador,Jardim encantador pela diversidade de espécies no arboreto. Coleções biológicas igualmente fascinantes. Vale um passeio para conhecer o jardim e suas belezas!
5,Lindooooooooo.....,Um belo passeio......bem conservado e organizado........com lojinha de lembrancinhas...........cafeteria com comida boa mas um pouco cara
5,Um passeio inesquecível,"O Jardim Botanico é um lugar muito agradável, ideal para um passeio em família. Possui um café dentro do Jardim e também a fundação de tom jobim (estava fechada quando fui)"
5,Excelente lugar para caminhar e ver a natureza,Eu recomendo. Um lugar lindo no meio urbano. Um bom lugar para caminhada e ver bastante verde. A localização também é ótima. Só tem que tomar cuidado com os roubos no lado externo.
5,Lugar de paz,"Este é um dos meus locais favoritos no Rio de Janeiro. É daqueles que não dá vontade de ir embora, amo estar cercada de tanta natureza.
Se pudesse, estaria lá semanalmente!"
5,Árvores com história ,"O jardim é lindo. Caminhe sem medo de se perder, pois as surpresas vão aparecendo. Pena que as indicações não são claras e vc pode ter dificuldades para encontrar locais de seu interesse. Alguns lugares, como o orquidário e as ervas medicinais, podiam ter mais informações."
4,Um lugar fantástico,"Só acho que esta um pouco abandonado, fui ver as roseiras e me decepcionei, mas num todo o lugar é lindo. vale muito a pena ir para passar o dia."
5,Indescritivel,"Aqui a natureza reina com toda sua beleza, sendo também um ótimo local para uma caminhada e ate mesmo um piquenique em familia, apenas recolha o seu lixo."
5,Surpreendente ,"Vale a pena o passeio, muito bonito.
Tem que ir preparado para caminhar bastante principalmente em terra batida , o que pede um tênis."
5,Encantador,"O Jardim Botânico é um dos lugares mais bonitos do Rio de Janeiro. O Parque conta com muitas espécies nativas e tem um orquidário belíssimo. O local é apropriado para quem gosta de contato com a natureza e permite uma vista do Cristo Redentor. Apesar de ser um Parque, as temperaturas ficam bastante elevadas no verão, o que nos impediu de permanecer por mais tempo no local. "
5,Tudo muito bonito,O passeio ao Jardim Botânico é muito agradável. A vegetação bem preservada com pontos muito bonitos para tirar boas fotos. Recomendo!
5,Um charme de lugar!,"Muito bom dar um passeio no Jardim Botânico, visitar as imponentes palmeiras plantadas na época do império. É relaxar num lindo jardim em meio a cidade. Ótimo programa para famílias e casais. Impossível não apreciar. Recomendo o café da manhã da padaria Francesa La Biciclete. Muito bom tomar um delicioso café com seus quitutes. O passeio fica completo com uma caminhada no jardim que além de lindo faz parte da nossa história. Um ótimo paseio!"
5,Parque muito agradável! Nice and beautiful!,"O Parque, além de bonito, é gostoso, agradável, com muita sombra, a temperatura é amena e a diversão garantida. Momentos de paz e tranquilidade e introspecção. Pure nature. Contato pleno com a natureza. Tropical vegetation. Use repelente pois há bastante mosquitos. Vale a visita!"
5,Lugar lindo,"Lugar super tranquilo, bom de visitar com crianças, tem lagos, plantas exôticas, gruta, bom para meditar e passear com a família e amigos. Ainda é possível ver aves e répteis soltos andando pelo lugar."
5,Lugar encantador!,"Nunca havia ido em um jardim botânico, mas eu amei e minha vontade era de ficar lá pro resto da vida. Um ótimo lugar para se conectar com a natureza e pensar sobre a criação. É maravilhoso estar lá! Só passe repelente antes ok!?"
5,Grandioso ,"Lindo com variedade de vegetação tropical incrível, com destaque para o lago das Vitória Regia e o orquitario.
Uma dica, ideal para um piquenique!!!"
5,Único e variado,"Construído por D. Pedro II, vem sendo mantido há mais de 1 século com grande variedade da flora brasileira.
Amplo, central, a visita é simplesmente indispensável."
5,Lindo,A natureza variada deste lugar é algo maravilhoso! Lugar pra relaxar e descansar e se encantar! Recomendadíssimo!
5,Parece que estamos fora da cidade!,"Um lugar maravilhoso, onde encontramos paz e tranquilidade bem no meio da área urbana do Rio de Janeiro! Excelente opção tanto para um passeio romântico,a dois,quanto com amigos, família, ou ainda uma aula-passeio com um grupo escolar! Aqui temos natureza, História e arte! Maravilha sem igual!"
5,Maravilhoso,Visita simplesmente maravilhosa neste local que traz uma paz incrível. Pena não poder passar muito tempo porque tinham outros lugares para conhecer. Mas quero voltar na próxima ida à cidade.
4,Natureza exuberante,"Um lugar lindo para caminhar, descansar e contemplar a natureza. Pelo caminho dá para observar diversos pássaros da região e visitar os lugares históricos que existem no local, como por exemplo, o portal e as ruínas de uma antiga fábrica de pólvora (a primeira do Brasil) que lá existiu em 1808. É interessante visitar também o Museu - Sítio Arqueológico Casa dos Pilões, que fazia parte da antiga fábrica de pólvora."
5,Lugar de purificação,"O Jardim Botanico do Rio de Janeiro é um espaço privilegiado no cuidado, na diversidade de plantas e de pássaros. Sempre com atrações culturais. Trata-se de um bem maior destaque cidade maravilhosa. Purifica o corpo, puRitoca a alma. Renova"
5,Agradável,"Ambiente agradável, flora incrível, clima de tranquilidade, parque muito organizado. Possibilidade de ver lindos pássaros como tucano."
5,Tranquilidade,"Excelente pra quem curte natureza. Dá pra fazer uma boa caminhada e tirar lindas fotos. O que eu mais gosto é respirar o ar puro, cheirinho de mata e meditar. Não tem estação de metrô.  Tem um café para depois da caminhada fazer um lanchinho. Ir com roupas confortáveis e tênis."
4,Vale o passeio,"Eu visitei em um dia de chuva, então não pude apreciar em esplendor, mas apreciei muito as palmeiras imperiais, o museu e principalmente os vários veios d'agua no meio das plantas."
