bubbleCount,title,text
5,Lugar ótima pra uma caminhada ou pedalada ,"Sempre que posso vou pra lagoa pedalar e relaxar a mente. Lugar maravilhoso, ciclovia muito boa, sem buracos, limpo. Lugar pra você meditar. Cartão postal do Rj e hoje encontra-se muito bem policiado com a operação lagoa presente. Super indico e recomendo."
5,Lazer e paz ,"Um ótimo lugar para passar a manhã com a família, além de ser excelente para prática de esportes o visual é lindo!"
5,linda,"eu espero que digam sempre que vale a pena comtemplar a natureza e,sim ,vale a pena mesmo ir e conhecer.Embora ,tenha alguns locais que a mesma esteja extremamente poluida"
5,Vista de deslumbrante e ótimo local para ir com crianças,"Excelente local para passar o dia com crianças, cercado de natureza e com muitas atividades para os pequenos."
4,Lagoa: Um pouco de natureza dentro da cidade.,"A Lagoa possui uma das mais belas vistas da cidade e oferece uma ciclovia em toda a sua extensão. O local peca pela escassez de banheiros públicos ao longo de sua enorme área. Opções de locais para comer também é outro ponto negativo, pois os restaurantes são concentrados e não distribuídos ao longo do entorno, onde eventualmente se acha uma carrocinha vendendo água de coco, refrigerantes, ..."
5,Maravilhoso!,"Nunca deixe de passear de bicicleta por esta Lagoa quando visitar o Rio. Um dos pontos altos da viagem. Experiência excelente! Além do mais, um visual incrível com muitas opções de gastronomia e passeios."
5,Linda paisagem,"Muito bom fazer uma boa caminhada dentro do parque e em volta da Lagoa. Vale a pena fazer um passeio de pedalinhos, pedalar com as bikes do Itau. Fica bem próximo de uma estação de metrô , que fica ao lado do Shhopping Leblon. Recomendo."
4,Linda vista,"A vista é muito bonita. Achei muito sujo por perto, e um pouco perigoso, sem policiamento. Mas vale a pena ao menos passar de carro."
5,Linda!,"Fiz um passeio em um domingo a tarde e adorei! Lugar ótimo para fazer um piquinique, ficar observando a natureza e o por-do-sol. Tem alguns restaurantes, bicicletas e pedalinhos para alugar. Além de uma vista incrível."
4,Vista linda!,"Vale muito a pena para observar a vista, nem que seja só para admirar do carro.
Para caminhadas, evite ir à noite ou de madrugada, pois não é seguro."
3,Linda e poluída,"A lagoa em si é linda, mas a poluição de suas águas corta um pouco da sua magia. Os estabelecimentos no local são desorganizados e também há bastantes ambulantes."
4,Vista encantadora,"A Lagoa continua com a vista encantadora. Visitamos o Lagoon, um complexo de restautantes que tem uma vista privilegiada"
5,Passeando ,"Lindo! Passear com a família! Vale a pena.
Bem tranquilo! Pessoas caminhando, bicicletas! Comércios fácil acesso! Simplesmente Maravilhosa a Lagoa."
5,Lagoa Rodrigo de Freitas,Minha neta vai sempre passear na Lagoa. Em dia de sol pode-se desfrutar de uma natureza deslumbrante. Tema pedalinhos e pequenos restaurantes de boa qualidade. E um lindo passeio para fim de semana.
5,Bela paisagem,"É onde moro. Tem de tudo. Passeios de pedalinho, caminhadas ao redor da Lagoa, bares, restaurantes, bicicletas e triciclos para alugar. No Rio é conhecida apenas como ""Lagoa""."
5,Ótimo lugar para caminhar e praticar esportes ,"Costumo frequentar a Lagoa para praticar esportes, seja correr ou passear de bicicleta. A área é muito ampla e arborizada e, principalmente nos finais de semana, há muitas pessoas praticando esportes e passeando. Muitos esportes náuticos também são feitos no local. Há alguns bons bares e restaurantes próximos, mas eu tomaria cuidado redobrado ao andar a noite sozinho, principalmente nas áreas menos iluminadas."
