bubbleCount,title,text
5,Melhor sensação é ver o mengão jogar,"Que o maracanã é o melhor lugar para ver futebol, todo mundo já sabe. Mas ver o Flamengo jogar no maracanã não tem preço. Indico a todos."
4,Bom lugar para se conhecer,"O lugar tá mto bonito, parte mais baixa da arquibancada bem próximo ao Gramado, que estava verdinho. Valeu a experiência."
5,Maracanã,"Excelente localização. Chega-se fácil de Metrô, trem e ônibus. Próximo do Centro da cidade do Rio de Janeiro. Possui um tour onde podemos conhecer melhor o estádio por dentro, em horários que não são os mesmos dos jogos. Vale a pena conhecer, mesmo quem não..."
5,Espetacular ,"Vale muito a pena assistir um jogo no Maracanã!! Muito tranquilo a compra de ingressos, bem organizado e o estádio bem conservado! Experiência incrível participar da torcida mesmo se não for pelo seu time!"
3,Visita guiada agora visita menos pontos,"Na minha terceira ida à visita guiada, uma surpresa desagradável: o passeio agora não passa por alguns pontos visitados antes, como a tribuna de imprensa e a tribuna de honra. O ingresso, entretanto, não teve nenhum desconto. Uma pena! Era bem interessante ver o estádio..."
5,Flamengo,"Palco de show nos esportes, gols de Zico, de Pelé, de Garrincha, de Roberto Dinamite, de Jairzinho, de Bebeto... e também de Rolling Stones, de Paul McCartney. Tem tour para visitantes."
5,Casa do meu Fluminense ,"Ontem tive a oportunidade de ir assistir pela primeira vez um jogo do meu flu, e estou impressionada com a tamanha organização, tudo mt bem sinalizado, atendimento lá dentro é mt bom, lugar mt bem estruturado, já quero voltar mais vezes!!"
5,Visita obrigatória para quem visita o rio de Janeiro,"Maracanã cheio deslumbra qualquer torcedor que vá visitar um jogo local. Também pode-se fazer uma visita em dias específicos que não tem jogo. Em ambos tem que pagar ingresso. O bom mesmo é ver o vascão jogando, que é o melhor time do Rio."
5,O Maraca é nosso!!,"Um estádio de tradição e emoção!! Se quiser sentir a melhor sensação de uma partida de futebol, tem que ir quando o Flamengo joga."
4,Interessante,"É uma lenda e para quem gosta de futebol, vale a visita. Achei que as opções no museu diminuíram um pouco depois da reforma e o preço está bem salgado.O tour guiado não compensa."
2,Futebol,Local sujo banhriros péssimos. Alimentaçao cara. Falta de segurança. Muito desagradavel o ambiente.nNao oriento que leve familia principalmente crianças.
4,Boa experiência ,Assistir um jogo no Maracanã foi uma boa experiência. Mesmo em partida de clássico carioca o local possuía bastante segurança e organização.
4,Interessante ,"Legal esse passeio, bem interessante. Indispensável caso você goste muito de futebol. Recomendo esse local."
