bubbleCount,title,text
5,Demais!,Vale a pena subir através da trilha e descer de bondinho! O contato com a natureza é indescritível! O visual lá de cima é para se perder no tempo!
4,Ponto intermediário até o Pão de Açúcar,"É possível chegar ao alto do morro da Urca durante o dia de duas formas: a primeira mais famosa pelo bondinho. A segunda não tão famosa e extremamente cansativa, fazendo uma trilha de 30 minutos pela lateral do morro que começa no cantinho da praia. Estive agora em maio e continua com apenas algumas lanchonetes com poucas opções de lanches. Não há restaurante. O visual é de fato lindo e as fotos ficam perfeitas. Há passeios de helicóptero partindo la de cima. O visual a noite também é sensacional. A subida a noite e somente pelo bondinho. Evite ir de carro pois não há vagas próximo. Visita imperdível."
5,Bonito ,"Vista sensacional, vale a pena visitar.
Acesso pago devido ao bondinho.
Necessário pagar 2 estágios."
4,A vista no fim faz valer a pena,"A trilha começa super tranquila, mas em certo momento é preciso subir uma trilha bem mais íngreme e ai as coisas se complicam um pouco. A trilha é um pouco puxada mas no fim vale a pena o esforço ao ser agraciado com uma das mais belas vistas do Rio de Janeiro. No alto do morro da urca fica o segundo bondinho que dá acesso ao Pão de Açúcar, então pra quem não conhece, também vale a pena. Na volta, caso não queria novamente descer o morro pela trilha, é possível descer pelo bondinho."
4,Trilha Boa,"Boa trilha com direito a visitar o morro da Urca, é bem sinalizada e sempre esta cheio de gente fazendo. Achei um pouco cansativa, muita escada e bem íngreme. Mas se for devagar consegue, são 30 minutos de subida, quem sobe pela trilha não pode usar o bondinho, tem que pagar por fora."
5,Meu mundo!!!!,"Não tem melhor lugar nessa cidade para acalmar meu coração do que o Morro da Urca, da vista espetacular da natureza em volta. Amo demais !!!"
5,Uma vivita inesquecível!,O Morro da Urca é um observatório dos deuses. São 360 graus de pura poesia e beleza com sol ou com chuva. Trata-se de uma das visitas imprescindíveis a qualquer visitante estrangeiro ou brasileiro.
5,Maravilhoso!,"O morro da Urca é digno de cartão postal do Rio. Achei o valor do ingresso um pouco salgado (85,00 reais adulto), com direto a ir na Urca e Pão de Açúcar. Cheio de turistas e com vista incrível de praticamente todo o Rio."
4,Encantador,Vale a pena chegar o tempo antes de ir pra não chegar lá e não conseguir disfrutar da linda paisagem.
4,Ótimo Passeio ,"Local ideal para uma Boa caminhada e fotos do Rio de Janeiro.
Com crianças de 5 a 6 anos pra cima é ideal."
5,Dia D,Um dos melhores dia lá em cima. Levando os amigos que fiz nas Olimpíadas Rio2016 para conhecer um dos lugares mais lindos do Rio.
5,Quem tem medo de altura nao vá!,"Turistar no Rio de Janeiro e não ir ao morro da Urca significa não ter ido ao Rio de Janeiro. Por isso, apesar do meu pânico de altura resolvi conhecer o lugar. É maravilhoso? Sem dúvida, mas o pavor de estar pendurada dentro daquele bondinho..."
5,MARAVILHOSO!!!,"Você faz uma viagem no Tempo, transcendendo épocas maravilhosas da arquitetura, atmosfera e ambiente.
Carinhosamente chamo de ""Templo Artístico do Rio"".
Assistir um espetacular de música erudita é inesquecível."
5,Visual Incrivel!!!,"fiz a trilha que sai da praia vermelha para o morro da Urca, lugar incrível visual lindo!!!
tralha bem rapida e leve, vale muito a pena!!"
5,Maravilhoso,"Lugar maravilhoso, seguro, com visual sensacional, consegue ver a Baía de Guanabara e zona sul toda. Pode subir tanto pela trilha, quanto pelo bondinho. Na trilha é de fácil acesso e sem dificuldades."
5,Imperdivel,Visitar a cidade do RJ e não conhecer o morro da urca e Pão de Açúcar é imperdoável. Assim como ir ao Corcovado é passeio obrigatório. Vale tb gastar um pouquinho a mais e fazer o voo panorâmico de helicóptero que acontece por lá. Pode...
5,Passeio maravilhoso!,"Para quem gosta de lindas paisagens aliada a praias e atrações no rio de Janeiro é perfeito. O passeio começa com uma bela vista da Praia Vermelha até o primeiro morro. Mais acima , a vista é deslumbrante da cidade do Rio de Janeiro. Vale..."
4,Trilha,Suba o morro da urca pela trilha. O acesso encontra-se próximo a Praia Vermelha. A trilha é fácil e tem gente que faz até mesmo de chinelo (não aconselho). No caminho certamente encontrará micos e outros animais.
5,O melhor lugar do mundo é aqui,Simplesmente fantástico!!! Uma vista que enche os olhos de felicidade e nos leva a pensar: como é bom viver!!!
5,Linda vista.,"Fiz a trilha com a minha filha apesar de ter medo de andar na mata. Façam a trilha do morro da Urca, é linda."
5,Meu Rio de Janeiro,"Morro da Urca, Pão de Açucar, seja la como digam a voçe, tenha a certeza de que e verdade e mais um pouco, a melhor visão do rio de Janeiro! Vou colocar uma data em que visitei, mais ja estive ali umas dez ou mais vezes a ultima em 2017"
5,A PÉ PELO MORRO DA URCA,"Eu a minhas amigas de São Paulo subimos o Morro da Urca por um trilha muito bacana, nosso guia nos mostrou o caminho. É de graça e de lá a gente vê toda a Baía de Guanabara e o Pão de Açúcar. Lindo demais é super recomendado."
5,Trilha fácil e recompensadora ,"Sempre que recebi amigos no Rio de Janeiro levo para a trilha do morro da Urca. Trilha fácil e de visual maravilhoso para a Baía de Guanabara e praia vermelha. Recomendo, ao chegar, tomar um suco de frutas variadas por R$10."
5,Vista incrível. ,O Morro da Urca oferece aos seus visitantes uma vista incrível é muito linda da cidade do Rio de Janeiro.
1,Carnaval 2018 Rio de janeiro,Maravilhoso de dentro do bondinho de vê toda a cidade maravilhosa lugar ímpar de uma beleza deslumbrante
4,Vista Massa do Rio e cheio de Lojinhas e bares! Primeira parada antes do Pão de Açúcar!,"É o primeiro pit-stop antes de chegar no Pão-de-Áçúcar! Na realidade, é o local que você passa mais tempo quando vai para o próprio Pão-de-Áçucar, pois lá no Pâo-de Açúcar, em si mesmo, não tem tantas opções de diversão quanto no Morro da Urca. O Morro da Urca tem muitas lojinhas para comprar souvenires e lanchonetes e bares para comer alguma coisa e beber uma cervejinha, por exemplo (e para quem gosta). Além disso, a vista é excelente também! Fica a dica. É claro que você não vai deixar de subir no Pão-de-Áçúcar, mas tenho certeza que vai subir e descer rápido."
5,Belíssima vista da cidade,"Vou o morro da Urca com frequência e é um ótimo lugar para relaxar contemplando a vista panorâmica do Rio. Pode ser acessada pelo bondinho ou por trilha. A trilha é muito divertida e para quem sobe por ela, não precisa pagar para acessar o morro da Urca. Só vai pagar se usar o serviço do bondinho para descer."
5,Inesquecível,"O Morro da Urca pode ser acessado pelas trilhas ou bondinho, mas para se fazer a trilha tem que estar preparado para subir um local íngreme e ter uma vista panorâmica espetacular da cidade maravilhosa."
5,Trilha rápida e vista linda lá de cima!,"Demora uns 25 minutos pra subir ( sem parar) , você vê macaquinhos, pássaros e até cobra . A vista lá de cima é linda e rende ótimas fotos !"
5,Faça a trilha para se encantar,"Tem disposição e um pouco de preparo físico?
Faça a trilha para subir o Morro da Urca!
Caminho um pouco íngreme, mas sem dificuldades e bem agradável de subir.
Chegando, você se encanta com a vista do Rio, em vários ângulos."
5,Morro da Urca,"Trata-se de uma area militar, com bastante seguranca e rodeada por uma rota be ira mar muito bonita e aprazivel. E outro programa para um dia de sol. Pode-se pegar o bondinho. Mas nao recomendo o banho de mar."
5,Não deixem de visitar o Bar da Urca,"Que bar maravilhoso. Tem uma vibe unica, é super bem localizado, com o mar a frente, numa rua super tranquila. Eu amei! Foi ótimo conhecer esse lugar."
5,Conheça o Pão de Açúcar,É a primeira parte da subida do bondinho. Você pode passar um bom tempinho curtindo essa primeira parte da viagem.
4,Vista belissima!,"Passamos nesse local que tem uma vista maravilhosa, muito bem preservado, tiramos fotos para marcar o momento."
4,Lindo visual,"Essa visita é parte da visita ao Pão de Açúcar, é a primeira parada do bondinho (como aqui denominamos o teleférico). Para os mais esportistas, pode ser atingido gratuitamene à pé, por uma caminhada forte ou uma escalada fraca, não sei qualificar com precisão."
5,Praia da Uca,Adorável ver o por do sol e aproveitar a tarde gostosa. Recomendo a todos o passeio de bondinho. E realmente uma sensação incrível e agradável ver toda a cidade.
4,linda vista,"a subida na urca ou pão de açucar são momentos lindo pois a vista é maravilhosa,e o lugar é muito agradavel tem trilhas e espaços para descansar etc."
5,Lindo,Mais um dos lugares que não se pode deixar de conhecer neste Rio de Janeiro tão lindo.Não deixe fora da sua lista !
4,Local aprazível com varias opções de passeios,O morro da urca fica no bairro de mesmo nome e comporta diversas opções para conhecê-lo. A pista Cláudio Coutinho que tem início na Praia Vermelha é um caminho com bela vista do mar e também uma opção para os mais atléticos subirem por uma...
