bubbleCount,title,text
5,eu visitei,vale a pena visitar .Faça a visita guiada em grupo pois o local é muito perigoso mas não deixe de visitar.
5,Imperdível!,"Se estiver passando pelo RJ esse é um dos pontos imperdíveis da cidade!
A vista é incrível e o passeio maravilhoso. No local há lanchonete e loja de souvenir.
O preço é um pouco caro, mas vale a pena!
Ao final do passeio recomendo passear..."
2,decepcionante,"Muita fila, muita gente, caro... Não voltaria, mas para quem gosta de ficar dentro de um vidro, a paisagem é encantadora."
5,Vista Maravilhosa,"Quem vai ao Rio tem que conhecer o Pão de açúcar! O bondinho é super tranquilho e é uma experiência muito legal! A vista lá de cima é maravilhosa!!! tem 2 níveis/andares pra visitar lá dentro! Tem cafés, atrações ! é um ambiente muito agradável..."
5,Pão de Açucar,"Simplesmente maravilhoso meu passeio, não me canso de ir neste local toda vez que vou ao Rio de Janeiro!"
5,Visita obrigatória,"O Pão de Açúcar é visita obrigatória para turistas de qualquer idade. Uma vista divina, os bondes que nos levam aos dois patamares da montanha são lindos, limpos. Os mirantes são de tirar o fôlego. O único problema é se vc der o azar de..."
5,Vistas maravilhosas.,"Passeio muito legal, vistas maravilhosas de vários pontos da cidade. Existem restaurantes, bares e lojas nas paradas. Ao comprar o ingresso pela internet é necessário validar na chegada ( recepção na entrada do bondinho )e não se preocupe com o horário determinado na compra, pois..."
5,"Ver a beleza do Rio por um prisma diferente, show!!!","Acima de qualquer opinião, não existe vista mais bonita do Rio de Janeiro. Um espetáculo que já começa na subida, e faz você quase esquecer que tem que descer. Espetacular!!!"
5,Vista maravilhosa,"Vista incrível, vale a subida! O preço do ingresso na bilheteria é R$ 80,00 e no ticket já vem especificado o horário da saída com permanência de 1h, pensando que há muita fila para pegar o bondinho nos pontos, achei o preço salgado."
5,"Incrível, como já esperado","Como já esperado e conhecido por todos, o visual é simplesmente incrível. O único incômodo é a fila para pegar os bondinhos, mas acho que foi porque visitei durante um feriadão."
4,Lugar Mágico,"A vista é estupenda, a cara da nossa cidade maravilhosa! Prefiro em comparação com o Cristo! A visão é mais próxima de tudo, ainda tem a floresta, os macacos são lindos e chegam perto!"
5,Uau!,"A melhor vista e o melhor passeio, definitivamente. É lindo, estonteante! Dá um medinho subir com o teleférico mas isso é particular. Vale muito a pena!"
5,Sensacional ,Passeio muito agradável com uma vista sensacional do Rio de Janeiro... o passeio de helicóptero arremata com grandeza a visita!!
4,Vale a pena ir,Andar de teleférico até o Morro da Urca e depois pegar o segundo até o Pão de Açucar vale muito a pena. A vista é deslumbrante. Passeio que faço sempre que vou no Rio. Pena que tiraram a linha de ônibus de Copacabana que leva até lá. 
5,Inesquecivel,Sempre que posso ou vem alguém de outros estados levo lá muito bom vista maravilhosa passeio inesquecivel
1,Muito lindo!,"Uma organização invejável. Tudo limpo, c om vista panorâmica maravilhosa. Aproveitamos tudo. Com méritos ao nosso Guia Riardo."
4,Obrigatório ,"Vale MUITO a pena visitar. Vistas deslumbrantes.
Recomendo subir por volta das 17h para assistir ao pôr do sol."
5,Foi encantador.,"Um local exuberante e inesquecivel. E a segunda vez na vida que fui , porem foi como se fosse a primeira vez. Fabulosa paisagem, tudo esteve perfeito."
5,Visita imperdível!,Outro lugar que não deve deixar de conhecer! Faz parte da história do Rio de Janeiro. Uma vista espetacular da cidade! Vale a pena!
4,Maravilhoso,"Muito organizado e limpo, além de lindo. Se for visitar, se organize para fazê-lo numa tarde de sol, pois depois poderá estender o passeio até o muro da Urca e ver o por do sol lindo. É bem do lado! Tem pista de bicicleta desde..."
5,Maravilhoso!!,Uma experiencia encantadora faz ficar apaixonada pelo lugar apreciar o RJ do alto do pao de acucar e ver que realmente a cidade maravilhosa pela sua natureza!
5,Vista incrível,"O passeio é incrível, e permite ver quase toda a cidade. Já tinha feito esse passeio antes, mas dessa última vez enfrentei muita fila e penso que tenha sido em razão do horário (por volta de 10h30). Da outra vez fui por volta de 16h..."
5,Incrível,"É da aquela sensação de medo rs, que isso brincadeira é muito rápido super seguro e muito lindo, morro da urca e Pão de Açúcar é maravilhoso! Ver ps aviões chegando no Santos Dumont é muito maneiro! Vale a pena!"
4,Vale a pena !,"Vale a pena o passeio ao Pão de Açúcar !! É de tirar o fôlego a vista que se vê do Rio de Janeiro, nos dois pontos onde o bondinho te leva. O lugar é bem sinalizado, limpo e seguro. O valor é caro porem..."
4,símbolo do Rio,"O Pão de Acucar é um dos pontos mais conhecidos do Rio de Janeiro e do Brasil. A vista de lá é realmente maravilhosa, embora o ingresso seja um pouco caro e o local onde se pega o bondinho é meio esquisito. Sempre há filas..."
5,Vista linda,"Além da vista linda lá de cima tem uma exposição com informação dos bondes de antes e peças antigas do bondinho. Fora que a subida no bondinho vendo a praia de cima é outro show,foi maravilhoso"
5,Não Deixe de Fazer a TRILHA para o primeiro morro do Pão de Açúcar. Simplesmente mágico e espetacular!,"Faça a trilha para primeiro morro caminhando pela pista Claudio Coutinho, caminho de asfalto às margens da enseada da Praia Vermelha, depois é só subir quando chegar no local indicado. E senão quiser descer pela trilha, aguarde até às 19h, o bondinho será liberado para..."
5,Prazer sem igual,"Visual lindo, sem igual! Inclui uma sensação de liberdade no trajeto de bondinho. Também há uma trilha pelo caminho Cláudio Coutinho com janelas naturais para a baía da Guanabara que são de tirar o fôlego."
5,Lindo,Sempre que algum familiar vem nos visitar a gente leva no Pão de Açúcar. Vista deslumbrante para tirar varias fotos.
5,É um resumo do que o Rio tem de melhor.,A montanha com rochas monumentais e com florestas densas cercada pela cidade e pelo mar. Lindas vistas de boa parte da cidade num ambiente muito agradável.
5,Imperdível,Passeio inesquecível ... tudo muito limpo com vista de toda a cidade maravilhosa. Aproveitar para ir em dias com tempo bom.
5,Sensacional!,"É um dos principais pontos turísticos do Rio e por isso pode haver grandes filas, o ideal é ir no meio da semana, por exemplo (se for possível, rs). Independente da fila o sistema é bem organizado, tanto de bilheteria quanto no embarque do bondinho...."
5,Sonho carioca,Beleza natural de propriedade da humanidade. Lugar abençoado que se pode avistar quase toda a Cidade Maravilhosa.
5,imperdível,"Uma vista maravilhosa. Leve um casaco pois sempre venta, e um chapéu se o dia for ensolarado.
Indescritível a paisagem."
5,Por do sol,Subida de bondinho tranquila. Fila nos fins de semana. Maravilhoso visual mais lindo ainda no por do sol
5,Trilha ideal para turistas,"Quem estiver com algum preparo fisico para subir ao Morro da Urca, atraves de trilha organizada, facil e bem sinalizada, de graca, e que demora uns 25 minutos, para ver um dos cartoes postais da cidade maravilhosa, e um excelente passeio! Em cima varias lojas e bares para beber, comer e ate comprar!"
4,Beleza vista do Alto.,"O Rio de Janeiro é uma linda cidade, principalmente se vista do alto, o Pão de Açúcar é um desses lugares especial, com vista p/ a enseada de Botafogo e praias da zona sul propicia belas imagens. Vale muito a pena subir os dois morros, o primeiro chamado Morro da Urca pode ser acessado por uma trilha a pé de dificuldades moderada. Na alta temporada grandes filas são formadas, mas o percurso é bem rápido. Acho um pouco caro, mas vir ao Rio e não conhecer seu principal Cartão Postal é uma perda irreparável."
5,Férias no Rio,Ótimo lugar para se conhecer e tirar fotos da cidade. Tem um restaurante muito bom e a visitação ao por de sol tem um charme todo especial! Recomendo para todos que querem passar férias na cidade maravilhosa!
4,Passeio bucólico,O transporte até o Cristo através de bondinho é muito interessante. A mata no entorno é uma amostra da vegetação que circunda o Cristo. Um belo percurso.
5,Experiência maravilhosa e indescritível.,"Para quem vem ao Rio de Janeiro é um ponto turístico imperdível com experiências maravilhosas, indescritíveis."
4,Vista deslumbrante.,"Algo que falta infelizmente,não só no Pão de Açúcar, são funcionários que falem, pelo menos inglês e espanhol."
5,Indescritível. Não tem como deixar de ir a este ponto turístico super recomendo.,"Sou morador do Rio, mas sempre que possível estou visitando e levando uns amigos que estão em visita pelo Rio"
5,O Rio de Janeiroé lindo!,Excelente passeio para quem quer ter um pouco de emoção e apreciar uma das vistas mais lindas do Rio de Janeiro.
5,Turistando no carnaval,"Lugar lindo, fascinante e q nós cariocas deveríamos ir mais vezes. Levei meu filho de 16 anos pela primeira vez e ele amouuuu!!!"
5,Pão de Acucar,Lugar mágico! Vale a visita!!! Vista maravilhosa! Boa infraestrutura! Mostra as belezas do Rio de Janeiro!
5,Ótimo!,"Um ambiente muito agradável, com um linda visão da cidade do Rio de Janeiro. Na ocasião visitei com um grupo de amigos e a principio todos curtiram muito! Todos os atendentes sempre muito atenciosos, local com belas paisagens, ótimo para tirar fotos!"
5,A vista é privilegiada,"Linda localização, um pesseio que sem dúvidas é primordial se você for até o Rio, a paisagem é encantadora, me surpreendeu, recomendo."
5,Melhores vistas da cidade!,"O Pão de Açúcar tem as melhores vistas do Rio! Estrutura ótima, lugar super agradável, além de lindo, organizado e limpo. Pela manhã a vista da baía é mais bonita."
4,Passeio legal,"Passeio pago
Mas, vale a vista da cidade.
Como quase tudo no RJ, as coisas são caras.
Um belíssimo cartão postal.
Tudo bem organizado."
5,Pao de acucar,"Lugar maravilhoso, viagem de bondinho muito sr gura, restaurante muito bom com uma linda vista. Preferencia ir num dia de sol."
5,Lindíssimo!,"É um passeio muito interessante, que proporciona apreciarmos lindas e marcantes paisagens.
É possível fazer lanche lá com valor razoável, tirar lindas fotos, ou simplesmente curtir aquele lindo lugar e ainda estar junto à natureza."
5,Bom como sempre,"Eles avisam se não há visibilidade ... local muito amplo, com café, lanchonete, guardas, tudo limpo e bem cuidado"
5,TEM QUE IR!!!,"Lugar de beleza ímpar, natureza preservada, aquele friozinho que convida para uma xícara de café são alguns chamarizes desse belo local. Pode-se fazer uma pequena caminhada em trilhas no alto do morro."
5,maravilhoso,"Experiência fantástica, vista maravilhosa o acesso ao local é muito fácil, tranquilo e seguro.
Um passeio que não pode deixar de fazer no Rio de Janeiro."
4,Bela vista do Rio,"É uma das melhores vistas do Rio de Janeiro, pois não é tão elevada quanto o Cristo Redentor e tem como paisagem principal a Praia de Botafogo, uma das mais bonitas do Rio mas geralmente imprópria para o banho."
5,Um luar excepcional,Os únicos lugares do Rio de janeiro que não pode deixar de ser visitado por cariocas e turistas são o pão de açúcar e o Cristo Redentor. Procure um dia claro sem nuvens e esteja no céu. A melhor opção de visita é no Bondinho ida e volta. Reserve uma tarde ou manha para cada um
5,Não deixe de visitar ,"Atração imperdível do Rio de Janeiro! Instalações bem mantidas, serviço muito bom. A vista da cidade e da baía da Guanabara, na minha opinião, é mais bonita do que a do Cristo Redentor."
5,Cartão postal ,"Um dos principais cartões postais da cidade maravilhosa, visita obrigatória, serviço bem estruturado, seguro com uma vista deslumbrante, a mais bonita do Rio"
4,Um Lugar de contato com a natureza,Um lugar que você tem um visual incrível !!! Ótimo para passear com a família..... E amigos um lugar inesquecível!!
5,Simplesmente Sensacional!!!,Sempre tive dúvidas do quanto realmente a cidade era maravilhosa. Ao visitar o Pão de Açúcar eu entendi o motivo de ser conhecida como a Cidade Maravilhosa. Ir ao Rio e não visitar o Pão de Açúcar não vale...
5,Simplesmente sensacional,"É um ponto turístico sensacional, que não deve ser perdido por nenhum visitante com destino a cidade maravilhosa."
5,PONTO TURÍSTICO DO MUNDO,"Lugar privilegiado para nós que moramos no Rio, levarmos todos aqueles que nos vem visitar, sejam amigos, parentes ou mesmo conhecidos. Lugar de fácil acesso e ótima comodidade. Ainda conta com bar e restaurante, além de lojas."
5,passeio absolutamente imperdível,"Passeio obrigatório. O passeio no bondinho é muito seguro e tranquilo. O açaí do Morro da Urca é muito bom. Não fiz, mas sei que é possível fazer a trilha do Morro da Urca no final da tarde e descer com o bondinho gratuitamente. O preço do passeio é meio salgado, mas vale a pena. Lá em cima há muitas opções de restaurantes e lojinhas. Passeio incrível."
5,Lindo!,"Lugar maravilhoso e lindo com uma vista deslumbrante da cidade, do mar, da montanha. Passeio imperdível para quem visitar essa cidade maravilhosa!"
5,Que LUGAR LINDO E MARAVILHOSO,"Foi Muito emocionante, O RIO CONTINUA LINDO E SEMPRE SERA LINDO.
Cidade maravilhosa, Encantos Mil...."
5,Você não pode deixar de visitar o Pão de Açúcar,"Não esqueça a sua câmera fotográfica,porque com certeza você vai ter belas recordações desse lugar.Uma vista privilegiada do mar,subida do bondinho em duas etapas,o que torna o passeio mais interessante.E observar a cidade à noite,do Pão de Açúcar,é simplismente lindo...."
5,"Excelente, maravilhoso","Muito agradável, belíssima vista. Imperdível. Não deixe de ir , vale muito a pena . Um dos lugares maus bonitos do mundo"
4,Tudo muito lindo!,"Conhecer o Pão de Açúcar e ter toda a maravilhosa vista lá de cima é algo inesquecível.
Tudo muito bonito...
O passeio via bondinho não é barato, lotado tbm! Mas é seguro e sem problemas, vale a experiência.
Qualquer coisa que queira adquirir no percurso..."
5,Vista perfeita,A vista mais bonita do Rio sem dúvida é do Pão de açúcar. Onde vc pode observar todo os pontos da cidade.
5,Maravilhosa natureza,"Lendário e fabuloso. Pão de Açúcar é um dos grandes pontos turísticos do Rio de Janeiro e do Brasil. Além da emoção da subida, você é contemplado com a beleza natural do local."
5,"Bom passeio, quando se tem visibilidade!","Fui algumas vezes no pão de açúcar e digo, apesar do preço do ingresso ser caro. vale a pena! Ótimo local para quem é fã de fotografia, pois com boa condição de luz. Claro, é cheio, pessoas na frente e tal,mas, com paciência você consegue! I've been here a couple of times and yeah, it's worth! Maybe the tickets are a bit pricy, but it is well worth. the first stop has more room ( literally ) than the second one. So, enjoy the sunset on the second higher place and enjoy the place back on the first stop."
4,Pao de açucar nao deixe de visitar,Uma vista encantadora. Uma viagem de bondinho deslumbrante. Local para tirar belissimas fotos e curtir a imensidao da Cidade Maravilhosa. Nao pode ficar de fora de seus pontos turisticos.
5,O RJ continua lindo,Vá! E avalie! Curta a paisagem e seja feliz! Em feriados loooota se puder vá dia de semana!vale a pena!almoça embaixo no restaurante terra Brasilis que tb tem uma vista daquelas
5,Excelente programa!,"Fui com meu pai e irmã, chegamos de dia e ficamos até o anoitecer. Excelente passeio, vista inacreditável, um dos pontos mais lindos do rio, senão o mais bonito. Estrutura boa, exposição interessante, não é um passeio barato, mas vale a pena."
5,Vista deslumbrante,"Se não tem medo de altura, andar nos bondinhos é pura emoção.
Vale a pena andar em todos e chegar no topo.
A vista do RJ é emocionante e vale cada segundo."
5,Inesquecível e emocionante a vista!!,Recomendo o passeio próximo ao horário do por do Sol! Passeio tranquilo com a vista exuberante do Rio . A noite vale conferir a agenda para shows!! Vale a pena tudo!
4,Muito lindo e um passeio especial. Mas pra estacionar é quase impossível.,"Lindíssimo e especialmente inesquecível, mas estacionamento e o valor da passagem do bondinho inviabilizam o retorno."
5,Uma das maravilhas do Rio de Janeiro..,Moro no Rio de Janeiro e tenho o privilégio de passar todos os dias de carro pelo Aterro do Flamengo e ver o bondinho. A vista é linda e o local seguro. Não se pode vir ao Rio e deixar esse passeio de lado. Da muito bem para fazer esse junto com o outro pois não leva muito tempo. Espero ter colaborado
5,Vista Linda Vale a Pena,Outro vista muito linda do Rio quem visita o Cristo deve visitar o pão de açúcar tem boas lanchonetes e bem limpo e bonito
5,Um dos principais pontos turísticos do RJ,"O Pão de Açúcar é parada obrigatória no RJ, você não pode dizer que foi ao RJ e não o visitou. A vista é vislumbrante e você pode subir todo o percurso usando o bondinho, que oferece visão panorâmica por todo o percurso, ou fazer a subida do Morro da Urca pela trilha (leve, menos de 1 hora) e depois o percurso até o Pão de Açúcar de bondinho. Lá você encontrará restaurantes, mirantes e muito mais. A visão completa do RJ e também da Praia Vermelha. É fantástico! Não deixe de conhecer!"
4,LINDO,"acesso caro, mas bonito, cuidado com assaltos e comércio explorador. vista linda e no verão muito muito quente"
4,Beleza Natural,"Vale a pena o passeio, mas continua muito caro para os padrões nacionais. Tem que melhorar a organização de acesso dos visitantes. O estacionamento do entorno continua uma bandalheira só."
5,A vista é deslumbrante.,"Fica na zona sul do Rio a vista é deslumbrante. Consegue-se ver grande parte das praias da zona sul, é um passeio que não pode se pode deixar de fazer pra quem está de turismo no Rio."
5,Lugar maravilhoso ,"Local maravilhoso, com a melhor vista do Rio de Janeiro. Estrutura incrível nos três pontos de acesso aos bondes, super recomendo a visita."
5,Imperdivel,"Ponto turístico imperdível , cheguei de uber e subi pelo bondinho, a vista é uma das mais incríveis que já vi,tudo muito organizado,funcionários educados e sempre prontos para ajudar."
5,Indispensável ,"Assim como o Cristo, o Pão de Açúcar é parada obrigatória para quem vai a primeira vez ao Rio de Janeiro, não por ser algo popular, turístico e que todos vão, mas por ser algo realmente lindo, à vista é linda, a sensação de liberdade..."
5,LINDO!!!,"Imperdível! O pão de Açúcar é parada obrigatória! Vista linda e o passeio de bondinho é muito divertido. Vale parar e tomar uma caipirinha no bar que fica ao alto. A vosta do varandão é linda. Os preços são salgados, mas vale a pena. Fiz..."
5,Passeio Maravilhoso ,"Acesso muito organizado. Há pessoas para informar com simpatia e eficiência.
O lugar é lindo e bem cuidado.
A vista é maravilhosa.
O estacionamento é limitadíssimo prefira usar táxi ou transporte público.
Depois da visita, aproveite a Praia Vermelha para uma última foto do Pão..."
5,A vista do Rio de Janeiro não tem descrição,"O passeio pelo bondinho tem um charme especial, mas a vista do Rio de Janeiro do alto do morro não tem palavras para descrever.
é impossível ir ao Rio de Janeiro e não passear pelo bondinho, indo até o morro do Pão de Açucar."
5,Maravilhoso.. Indico.. tem que ir,"Incrível, a beleza do lugar, a visão que se vê, um sentimento de liberdade agradável, esqueci ate do tempo, dos problemas, Um dos lugares incrível que pude desfrutar, conhecer e se maravilhar, sem contar com o passei de bondinho, uma sensação de estar voando, Lugar..."
5,"foi muito legal, eu fui no bondinho, no ínicio deu medo mas quando cheguei em terra firme eu achei que foi o melhor","No começo você fica com medo de o bondinho cair, mas quando você vê que ele não vai cair você fica ai meu deus foide mais eu quero ir de novo"
4,Lindíssimo,"Prós: Belo passeio, tudo muito organizado, um dia ótimo, excelentes vistas da cidade do Rio de Janeiro.
Contras: preços abusivos de comida e bebida!"
5,Valeu muito a pena,Foi fantástico. Vista linda e atmosfera muito agradável....Não da para ir ao Rio e não passear no pão de açucar!
5,Visita com familia,"Depois de varias visitas na cidade maravilhosa consegui visitar o pão de açúcar. Passeio muito bonito? Valor do ingresso R$ 75,00"
4,Vista deslumbrante!,"Já estive no Pão de Açúcar tanto de dia quanto de noite e ambas são magníficas! Da última vez comprei o ingresso antecipado, porém cheguei lá e estafa fechado em manutenção... essa visita foi entre o Natal e o ano novo, o número de pessoas..."
5,Uma vista panorâmica inesquecível ,"A visão da baía e das praias nunca vai sair da sua memória. É caro, mas vale a pena pelo menos uma vez na vida."
5,Vista mais linda do Rio de Janeiro,"Se o Rio traz inúmeras opções nas alturas para apresentar suas belezas, não tenho dúvida que o melhor lugar para apreciá-las é subindo o bondinho do Pão de Açúcar.
Composto por 2 morros, o Morro da Urca que é o menor e o Morro do..."
5,Muito lindo,"Existem 3 maneiras se ir para o Pão de Açúcar:
1- Pegar o bondinho perto da praia até o Pão de Açúcar, o ingresso custa R$80 inteiro e R$ 40 meio.
2- Trilha da Praia até o Morro da Urca de 30 minutos e de..."
5,Maravilhoso!,"Emocionante, passeio único, toda vez que faço esse passeio me sinto privilegiada de morar no Rio. Não é barato, mas tem filas organizadas e não demora. Bondinho com ar condicionado e visão 360º. os preços nas lanchonetes tanto no morro da Urca quanto no Pão..."
5,MELHOR VISTA!,"Entre a visita ao Cristo e ao Pão de açucar fico com a do Pão de açucar, por 3 motivos: 1º não é entupido de gente como o Cristo, 2º a vista é LINDAAAA, 3º tem meia entrada. Super recomendo."
5,Vista muito bonita!!,"Está entre as principais atrações do Rio, não tem como deixar de visitar. No alto do Pão de Açúcar podemos admirar as lindas praias do Rio."
