bubbleCount,title,text
5,Pôr do sol,"O Rio surpreende,resolvemos sair de casa às 17hs , moro na Barra.O trânsito estava ótimo.Conseguimos uma vaga na pça General Osório.Uma pequena caminhada e as pedras ainda estavam bem vazias.Subi bastante tive ajuda de todos tanto na subida qto na descida.Tenho 70 anos.Agradeci o estaculo..."
4,Lindo,"Lugar único, principalmente a noite, sentar nas pedras e olhar o pôr do sol é tudo. Porém nos fins de semana com muito sol é bom redobrar a atenção, mas nada que impeça essa visita maravilhosa e linda."
4,Fomos ao pôr do sol,"Estive de passagem rápida ao RJ e não poderia perder o famoso pôr do sol no Arpoador. E foi lindo, realmente. A praia parece ser bem bacana também, ao passearmos pelo calçadão tinha um músico tocando o que deu um toque a mais na visita...."
4,Um pouco insegura,"Praia sem dúvidas muito bonita, e com uma vista incrível na sua pedra. Porém, me senti um pouco inseguro com algumas pessoas nos amedrontando sobre o risco de se andar com acessórios lá. Portanto, visite rapidamente e tome muito cuidado."
5,"Beleza a qualquer hora, mas em especial no por do sol","Assistir ao por do sol no arpoador é uma experiência inesquecível. Houve um tempo em que aplaudir o por do sol em Ipanema era comum para visitantes e cariocas. O hábito passou, mas o espetáculo da natureza continua a merecer aplausos. Um beleza."
5,Por do Sol,A pedra do arpoador tem uma vista linda!! Por do Sol belissimo!! Se puder ir durante a semana é melhor!! Domingo não acho legal.
5,BADALAÇÃO NO POR DO SOL,"Local emblemático, muito procurado por turistas, e também cariocas para apreciar o por do sol, realmente um espetáculo único e inesquecível.
O acesso é um tanto acidentado e pessoas com dificuldade de locomoção devem ter muito cuidado.
Usar calçados com sola de borracha para evitar..."
5,Melhor pôr do sol,O arpoador é um dos meus lugares favorito no Rio de Janeiro. Um pôr do sol indescritível. E não é apenas durante o dia que podemos visitar e prestigiar esse lugar. A noite também é um ótimo lugar de passeio e de belíssima vista. Excelente...
5,Imperdível visita no por do sol,"Ir ao Arpoador é um must. Principalmente no por do sol. Passear no calçadão que da acesso a pedra do arpoador. Vá de tenis ou com sapato confortável, para subir nas pedras e ir até bem lá em cima. Ver o mar , aboarte virada..."
4,Por do Sol é aqui!,Parada obrigatória para se deleitar com o magnífico por do Sol com os fervorosos aplausos que são uma tradição carioca.
5,Pôr-do-sol inesquecível !!,"Próximo ao horário do pôr-do-sol muitas pessoas se reúnem, sentadas, na pedra do Arpoador para assistir ao sol se pondo. Com o tempo favorável, a experiência é maravilhosa! Recomendo. É o tipo de passeio gratuito que, perguntando às pessoas, é possível chegar no local sozinha..."
4,Lindo e bucólico.,"Local imperdível do Rio de Janeiro, uma subida nas pedras, passar uns momentos em apreciação do mar e da natureza com a linda praia se estendendo até o Leblon é algo imperdível, ""recarrega as baterias da alma"". A ressalva é quanto aos domingos e feriados,..."
4,Linda vista,Situada entre Ipanema e Copacabana este espaço rende otimas fotos da orla de Ipanema e Leblon incluindo o Morro Dois Irmaos. Subir na sua encosta para visualizar Copacabana do alto é um bom programa. Cuidado: apesar de normalmente ter policiamento nao é um local tao...
4,Praia típica do Rio,"Essa praia, na verdade é o cando esquerdo da Praia de Ipanema, não é uma praia dela separada. Mas ao lado há a Praia do Diabo, esta sim, no Arpoador e separada da Praia de Ipanema. Nos dois casos, um programa típico dos cariocas é..."
5,Arpex,"Mais conhecido como Arpex, esse pequeno trecho mais a esquerda de Ipanema, e propria para a pratica do surf. Local muito famoso,tambem pela pedra do arpoador, aonde podemos apreciar o por de sol mais famoso do Rio de Janeiro"
3,Vale pela vista de Ipanema,"Vale a visita apenas para olhar para Ipanema e Morro do Vidigal :), caso contrário, não tem nada de extraordinário que mereça o desvio."
5,Por do sol lindo!!!,"Lugar lindo, com visual da praia de ipanema e leblon, muito legal passar o fim de tarde la vendo o sol se por com uma boa companhia..."
4,Bela vista,"Sem dúvidas é uma das mais belas vistas do Rio de Janeiro. Ficar no alto da pedra possibilita um ângulo sem comparação para observar as praias de Copacabana e Ipanema, além é claro da própria praia do arpoador. O acesso requer um pouco de atenção..."
5,Aquele lugar para tirar uma foto linda,"Pôr de sol visto pela pedra do arpoador eh lindo e dar pra tirar fotos lindas. Não vá nos finais de semana, pois fica muito lotado. Use protetor solar e cuidado para não escorregar."
5,Mágico,"Lindo lugar pra se ver o pôr do sol, valeu cada instante, fora que tem bastante policiamento ao redor..."
5,Meu quintal,"Carioca nativo sempre tem um lugar que gostamos mais, essa praia é a minha favorita, com vista única para o morro dois irmãos deixa qualquer um babando pela descortinar das montanhas ao encontro do mar."
4,Lindo Visual,"Um dos pontos onde se tem um belo visual deste litoral maravilhoso, onde pode apreciar o amanhecer e o por do sol."
5,Excelente vista!,"Gostamos bastante de ver o por do sol na pedra. Lugar é lindo, mas requer atenção com objetos pessoais, como em qualquer outra região."
5,Fim de tarde perfeito,"Para quem nao conhece, fica a dica, final da oraia de Ipanema, quando o mar sobe, dependendo do swell, rola altas ondas, e o por do sol, nossssa!"
4,Ponto de encontro e de magia,"A Praia do Arpoador fala por si mesma, é daquelas criações divinas em que todo se harmoniza e faz do espectador também um grande ser mágico e especial diante de tanta beleza"
3,"Lindo, mas ...","A Pedra do Arpoador é um local lindo para apreciar o por do sol, mas infelizmente o local se tornou perigoso , pois há assaltos frequentes e arrastões."
