bubbleCount,title,text
5,Muito bonito por dentro e por fora,"A visita no teatro valeu muito a pena. A visita demora aprox. 50 min mas a guia explica coisas interessantes.
A beleza do cafe, da escada principal, dos detalhes nos andares e do teatro em si sao muito interessantes.
Ah, estudante paga meia"
5,Simplesmente IMPORDÍVEL,Só sabe o quão legal é esse passeio quem o faz. Simplesmente vale muuuito a pena! Passeio super barato e cheio de surpresas!
5,Lugar mágico,"Lindo demais este Theatro. Quando for ao Rio, entre no site do Theatro e pesquise a programação de eventos. Visitamos o Theatro para assistir a orquestra sinfônica. É uma experiência incrível."
5,Esplêndido,O Teatro é lindo. Recomendo a visita guiada oferecida pela própria equipe do museu. Os ambientes são suntuosos e tão repletos de obras de arte que em alguns deles a gente quase perde o fôlego.
5,Lindo local!,Estando no Centro do Rio de Janeiro vale a pena conhecer. Localizado ao lado da estação do metrô da Cinelândia é possível ir a pé. Um monumento na cidade do RJ.
5,Maravilhoso,Por sorte no dia da minha visita haveria a apresentação do Ballet du Capitole de Toulouse. Valeu cada centavo. Apresentação perfeita e o teatro é incrível. Único ponto negativo é o caos de táxis na saída e ruas estranhas para chegar ao metrô a noite....
5,IMPONENTE E BELO,"Construído no início do século XX, para abrigar grandes companhias teatrais, permanece em local de destaque até hoje!
Maravilha da arquitetura e excelente espaço cênico.
Vale a pena fazer a visita guiada e conhecer seus detalhes."
5,Clássico!,"Teatro cheio de história, lindíssimo, com ótima sonoridade.
Vale a pena assistir a um espetáculo, mas chegando cedo, para conhecer as instalações fantásticas do local."
5,Interessante,"A visita dura aproximadamente 50 minutos e custa R$20,00 (inteira).
É uma visita rica em detalhes históricos é feita com calma, de maneira a contemplar as obras e tirar fotos.
Uma pena que os camarins e coxias não fazem parte do percurso."
5,Imperdível,"Os ingressos custam R$ 20 inteira e R$ 10 meia, as visitas são guiadas com duração de uma hora aproximadamente, e ocorrem às 12 h ou às 14:30h. É uma opção imperdível para quem vai ao Rio. É um espaço de beleza ímpar, arquitetura espetacular,..."
4,lindo,"ótimo lugar para se conhecer. o teatro é lindo por dentro e por fora, e tem sempre uma ótima programação."
5,Lindo,"Teatro muito lindo. Vale a pena fazer a visita guiada. Só senti falta da guia falar algumas informações importantes em inglês, pois vi muitos turistas estrangeiros visitando."
4,Satisfatorio,"Experiencia boa, o theatro é lindo em todos os aspectos, porém nos sentimos em uma area um pouco perigosa e essa insegurança é bem prejudicial para quem vai visitar."
5,Um teatro de tirar o fôlego!,"Localizado na Cinelândia, centro do Rio de Janeiro, ladeado por prédios históricos belíssimos, como a Biblioteca Nacional e o Museu de Belas Artes.
Vale a pena assistir a um espetáculo de dança ou sinfônica. Mesmo que o show não seja bom (difícil), o passeio pelos..."
5,Espetacular,Fazendo a visita guiada é sensacional pois podemos conhecer todos os ambientes do teatro além de conhecermos também a história !!
5,Lugar perfeito!,"O ambiente é perfeito, é lindo e aconchegante. Lugar para quem busca crescimento histórico e cultural."
5,Vale a pena!,"Vale a pena, seja para visitar e conhecer ou para assistir algum espetáculo. Já assisti alguns espetáculos de balé e foram lindos!"
5,Um dos tesouros mais importantes dos cariocas,"Depois de sofrer com o abandono e a falta de pagamento aos artistas, o Municipal foi premiado com a volta do grande Fernando Bicudo à presidência da Casa. Estamos felizes demais com isso, pois a programação voltou à sua antiga excelência."
5,oásis cultural,"uma jóia arquitetônica carioca, o Teatro Municipal recebeu há pouco tempo bela restauração: podemos agora apreciar melhor sua cúpula envidraçada, painel pintado no teto por Visconti, entre outras preciosidades. Com nova direção desde março 2018, a programação foi ativada em conexões com companhias estrangeiras trazendo..."
5,espetacular,"uma obra de arte. muito lindo e diferente de tudo. fora o luxo da obra. está de parabens. recomendo.
fica bem proximo a cinelandia"
5,Theatro Municipal,"No centro do Rio de Janeiro, excelente local para assistir espetáculos. Possui também um tour durante o dia, para quem está interessado em conhecer os bastidores do teatro."
5,Visita obrigatória ,"Lugar belíssimo e cheio de histórias. Vale muito à pena a visita. Se possível, assistir um espetáculo."
5,Lindo!,Fui em um da orquestra sinfônica da Petrobras e foi incrível! Minha primeira vez no teatro municipal do Rio de Janeiro e foi uma experiência que jamais esquecerei.
5,Marco histórico da cultura desde o Brasil Colônia,"o Teatro Municipal, tombado pelo Patrimônio Histórico e Artístico Nacional é um marco genial da cultura brasileira, Uma arquitetura requintada, bens móveis maravilhosos tem um palco como poucos no mundo e é digna de nota a escola de formação do bailarinos, o conservatório de formação..."
5,História da melhor qualidade,Excelente opção para conhecer ao vivo o que vimos nos livros de história. Imponente e encantador. Custo bem acessível. Dá pra imaginar os grandes eventos que aconteceram ali no passado. Nos dias de espetáculo você pode chegar 1h antes de tomar café no mesmo restaurante...
4,Sábado no Theatro Municipal,"Assistimos o Ballet du Capitole de Toulouse. Muito boa apresentação de uma compania de ballet que tem mais de 250 anos.
O teatro oferece um bom conforto e possui um pequeno bar onde são vendidos refrigerantes, taças de vinho, água e alguns salgadinhos. Só aceitam..."
5,"A cópia do Grand Garnier de Paris, mais bonito que o original.","Sempre me encanto quando entro no Theatro municipal do Rio de Janeiro, de beleza extraordinária, sempre encontro um novo detalhe a cada visita, sua reforma fez com que os detalhes e requintes do teatro voltassem a ter brilho e chamassem atenção para sua beleza e..."
4,Ida em apresentação modernista,"O lugar é muito bonito por dentro e é um retrato de uma construação de outra época bem mantida. É uma pena que dependendo do horário que você sai, você não tem segurança alguma. Próximo ao VLT e ao metrô."
5,"Apesar de poucos espetáculos, a Beleza vale sua visita !","Lindo ! Praticamente um monumento.
Tudo isso compensa a falta de uma programação mais regular que foi potencializada pela crise financeira ocasionada pela roubalheira de nossos governantes."
5,Um sonho!!,"Esse Teatro apresenta eventos belíssimos, além de todo o glamour do local. Uma pena que os eventos são poucos, principalmente os Ballet."
5,visitacao guiada,"Já estive lá duas vezes para visitação e outra para assistir a orquestra sinfônica brasileira
Quem tiver oportunidade não deixe de ir, a visitação e encantadora, nos faz bem e a orquestra, está nos enche a alma"
5,Mágico!,"O exterior do Teatro Municipal já é magnífico, mas o interior impressiona ainda mais! O teatro foi inteiro reformado há alguns anos, então é maravilhoso visitá-lo. Há alguns mosaicos no subsolo do teatro, além de pinturas e outros mosaicos nas paredes interiores e exteriores do..."
5,Espetáculo,"Maravilhosa a vista interna. Custa 20.00 por pessoa e vale a pena, é um show a parte estrutural a arquitetura com muita pedra e lustres."
5,Local agradável e de ótimo gosto para espetáculos diversos...,"Resido na cidade do Rio de Janeiro e frequento com certa assiduidade o lindo e simpático teatro. Tanto em espetáculos de Ópera, Ballet e shows variados de artista nacionais e internacionais, atividades durante todo o ano."
5,Uma joia no centro do RJ,"Este teatro é lindissimo. Vale buscar uma visita guiada para conhecer o centenario Teatro Municipal. Embora sua agenda artistica tenha sido impactada nos ultimos tempos, nao perca a oportunidade de assistir a um espetaculo ali. É de tirar o folego."
5,Show de bola. ,"Theatro é localizado no centro do Rio, no bairro Cinelândia. Ao lado da estação de metrô Cinelândia e a poucas quadras dos arcos da Lapa. Vale muito a pena visitar e conhecer sua história."
5,Espetáculo!,"Maravilhoso por fora e por dentro, ainda mais com espetáculo!
Acústica excelente!
É bom conhecer a programação com antecedência via Internet ou outro sistema e comprar ingressos com algum espetáculo em cena. Nesse caso tem estacionamento com valet. R$ 20.00"
5,Theatro Municipal-Rio de Janeiro,"Lindíssimo por fora,apesar de não ter visitado,passei apenas em frente,pois minha viagem não foi de turismo,mas para tirar visto no Consulado para uma viagem que programamos.
Mesmo assim passando a pé tive a oportunidade em conhecer o esplendor desse Theatro com um colorido verde e..."
5,Lindo.,Muito lindo.Teatro reformado e que vale a pena visitar. É importante que se compre o ingresso e ao mesmo tempo agende uma hora para visitação guiada.
5,Cultura,Otimo local para assistir peças culturais e concertos. Ambiente lindoooo e com opções durentr varios dias da semana.
5,Lindíssimo,"Vale muito a pena a visita. Fizemos o tour guiado no horário das 16h (há outras opções de horários), que dura em torno de 50 minutos e custa R$20 a inteira. O guia vai mostrando cada um dos espaços do Theatro e contando suas respectivas..."
5,teatro municipal,"apos a restauraçao, , nao me canso de admirar da calçada, quando esta fechado, o sol batendo no telhado dourado....e quando tem espetaculo admirar seu imponente interior..."
5,Visita,"O teatro foi totalmente restauirado.vale a pena percorrer seus corredores e labirintos . Independente da beleza do teatro, observe detalhadamente os camarotes, o palco e o anexo onde ficam as oficinas.
O"
5,Muito lindo,"Uma beleza sem igual. Os detalhes são os que mais chamam atenção, principalmente em dias ensolarados onde o Dourado prevalece."
5,PURA EMOÇÃO!,"Tem vários lugares no Rio de Janeiro que o turista não deve deixar de ir. O Teatro Municipal é um deles. O lugar explode emoção, cultura, glamour e história. Uma nação vive de história. E o Teatro Municipal tem isso vivo dentro dele. Quem entra..."
5,Dos lugares mais lindos do Rio,Recomendo fazer a visita guiada pelo teatro. Passeio para quem quer ver beleza. Aos domingos tem ópera a 10 reais.
5,Imperdivel,"Reformado em 2008', possui uma arquitetura belissima e os esperaculos musicais sao fantasticos e especiais."
5,Acústica excelente!,"Apesar do momento que o estado do Rio de Janeiro está enfrentando, o novo presidente da fundação, Fernando Bicudo declarou que teremos 10 óperas e 05 balés!
Já assisti espetáculos maravilhosos neste teatro e ele merece resistir!"
5,Michael Jackson vive no Municipal!,"Fazia tempo que eu não visitava o Municipal! A oportunidade foi um concerto da Orquestra Petrobrás Sinfônico que apresentou o álbum Thriller de Michael Jackson! Com um público jovem e ávido por aquele espetáculo, ver o Municipal cheio é de dar orgulho a qualquer carioca!"
4,Ótimo para assistir espetáculos musicais e teatrais!,"Espaço muito bonito e com ótima estrutura. Perfeito para conhecer com a família ou em passeio a 2!
Espetáculos muitas vezes com preço acessível para o grande público."
5,TEMPLO DA CULTURA CARIOCA,"Com mais de 100 anos de atividade,é um local altamente recomendado, principalmente após uma grande restauração que destacou suas qualidades. Em crise financeira devido a crise financeira em que atravessa o Estado do Rio de Janeiro, tem procurado se manter ativo, mantendo sua programação de forma heróica.  Vale muito visitar!  Sua construção, no início do século XX, foi inspirada no Teatro Opera de Paris."
5,Cultural,Um dos melhores teatros do rio de janeiro. Adorei passar a tarde romantica ne monumento histórico. Vale muito conhecer.
5,Repare nos detalhes do Teatro!!,"A primeira coisa que notei neste treatro são as estátuas no topo perto da abóboda de cobre já oxidada. Cada estátua representa um tópico do teatro, drama, comédia, poesia... O salão de espera é super fofo e lindo para tirar fotos. Vi a peça Quebra-nozes. E fiquei maravilhada!! Vale muito a pena. No intervalo, procure conhecer o teatro por dentro. As vistas para a cidade. É lindo."
5,Restaurado e lindo por dentro e por fora,Visitar o teatro municipal ou ver uma peça ou música é indescritível. Lugar foi restaurado há poucos anos e está lindo por dentro e por fora! Uma boa opção noturna ou para dias nublados na cidade
5,Um jóia da arquitetura no centro do Rio.,Um dos mais belos teatros de ópera dança e música do mundo (conheço vários outros). Uma verdadeira jóia. Há visitas guiadas mas se possível tente assistir a um espetáculo.
5,o predio mais bonito da america do sul,reformado recentemente sua ornamentacao de ouro e os marmores espetaculares estao melhores do que nunca.
