bubbleCount,title,text
5,Espetáculo Natural,"Amei a visita ao parque um lugar lindo q traz muita paz. Tem varias barraquinhas para vender água, bombom e biscoito. A guarda municipal sempre por perto. Tem varios portoes então veja qual é perto dos locais q vc quer visitar no parque"
5,Parque lindo,"Lugar excelente para passear, atvidade cultural ou fazer atividade física. Muito bonito e bem cuidado."
5,Lindo,Este parque é lindo e merece um passeio sem pressa para aproveitar as belas paisagens que são muito bem cuidadas.
4,Um oásis em meio a selva de pedra,"Local muito agradável, onde é possível fazer caminhadas, corridas, passeios respirando o ar puro. Existem também exposições muito interessantes, além do Planetário. A marca negativa fica por conta da falta de segurança, não é aconselhável que se porte uma boa máquina fotográfica ou algo de valor seja mantido a vista. A grande extensão do parque, permite que embora a guarda municipal esteja presente, avistemos pessoas subindo em monumentos para tirar fotos, entre outras barbaridades, imenso desrespeito ao patrimônio público e um exemplo crasso da falta de educação."
5,Maior parque da cidade! ,"Bom, eis o maior parque de São Paulo... Logo, se você curte parques e está pela cidade, vale a pena conhecer... Famoso por ser o queridinho dos paulistanos, o parque conta com atividades culturais, centro de exposições, planetário, e uma extensa área verde para corrida, bike, caminhada, ou até para um piquenique com amigos. Uma parte por aqui ajuda a baixar os níveis de stress advindos dessa cidade grande :) "
5,Local agradável,"O parque é muito bem cuidado, muito bonito, vale a visita, seja para dar uma corrida, caminhada ou apenas sentar e contemplar!"
5,Moradores e Visitantes adoram o Ibirapuera,"O parque foi inaugurado em 1954 como parte da festa comemorativa dos 400 anos da fundação de São Paulo.
Há muita opção para caminhadas e exercícios, além dos museus. Frequentei muito Ibirapuera por mais de 20 anos, pois morava lá perto."
5,Passeio top,Parque maravilhoso espaçoso e com várias opções de diversão. Trilhas de caminhada e lindas obras conceituadas da arquitetura brasileira. Vale à pena a visita.
5,Bom para relaxar,"Parque super amplo e com um visual bonito. Bom para ir com a família, amigos ou até mesmo sozinho. Bom para relaxar e praticar atividades físicas."
5,Lugar agradável,"Parque bonito , agradável e com segurança. Tem estacionamento , com o uso da zona azul. Fica localizado numa parte nobre de São Paulo e tem várias atrações. Vale a pena a visita ."
4,Icone Verde de Sao Paulo,"O Monumento às Bandeiras paulista, de Brecheret, resume o espirito paulistano: bandeirantes explorando e expndindo o pais"
5,O melhor parque do Brasil,"O Parque Ibirapuera é um exemplo de limpeza, além de espaço para caminhadas e lazer gratuito. Não deixe de conhecer o museu!"
5,Lindo!,"Quem vem a SP vale a pena o passeio. Eu adoro o parque para caminhar, correr, em dias de eventos e para relaxar."
4,Sempre uma ótima opçaõ,"Lindo e excelente local para ir com a família para desfrutar a natureza.
Lugar com várias opções de lazer ao ar livre."
4,Clássico dos clássicos!,"Que o ""Ibira"" é um clássico não tem o quê falar. Um dos principais parques da cidade de SP é referência no assunto e um excelente local para fugir um pouco da realidade caótica de nossa metrópole. Quer correr? Lá é o lugar. Quer tomar um belo café-da-manhã? Lá tem uma baita de uma cafeteria (no térreo do prédio da Bienal), Quer um passeio romântico? É um dos melhores parques para isto. Seu negócio é diversão para toda a família? Além de picnic perto do lago, é possível realizar um tour em várias locações do parque e aproveitar as facilidades para quem gosta de todo tipo de esporte.  Ir ao Ibirapuera é uma experiência e tanto. A recomendação é a de que se for de carro, vá bem cedo para aproveitar o estacionamento interno, que costuma encher rápido. Porém, é bem tranquilo chegar lá de ônuibus, também. É sempre uma boa pedida uma visita e um dos pontos favoritos de amigos meus que moram fora de SP, quando vêm em visita à nossa cidade."
5,Passeio agradável,"A única coisa que às vezes incomoda , é o cheiro de maconha . Mas lá dentro tem lanchonete com preços aceitáveis e tem até lugar pra alugar bicicletas. Da pra se divertir."
5,Encantador,"Lugar lindo apar passeio, muito fresco e romântico, bom para passeio com amigos e namorados. Vista maravilhosa."
5,Ótimo passeio,"Um local excelente para se passar o dia, descansar, desfrutar a natureza. Patrimônio da cidade o parque Ibirapuera é sempre um bom lugar pra ir."
5,Passear,"Um dos meu lugares prediletos em SP. Praticar esportes por lá é uma delícia. Recomendo ir cedo, fins de semana lotam."
4,passeio e caminhadas,"o parque e lindo bem cuidado tivemos um ótimo passeio. porem foi decepcionante a empresa que aluga bicicleta no parque tratam os usuários como animal falam sem olhar nos olhos da gente não da para entender nada. não recepciona com um bom dia nem agradece quando pagamos lamentável pois e um ótimo serviço porem mal administrado,  perguntamos se tinha alguém responsável, fomos informado que não tinha achei meio estranho mas deixei pois minha namorada ficou indignada ,não estão preparado para este serviço. lamentável e horrível o atendimento."
5,Central Park de Sampa,"Parque gigantesco, bonito e agradável para passear e passar horas agradáveis desfrutando a natureza. Tem pistas de cooper, de patinação, de bicicleta, planetário, etc."
5,Ótimo para fins de semana com a família!,Já fui algumas vezes no parque Ibirapuera. Sempre que vou acho muito gostoso passear por lá. Ver as crianças brincando. Sempre tem muita gente e alguns ambulantes vendendo desde comidas e bebidas até artesanato. Vale a pena.
5,Ótimo local,"Um local bem cuidado, paisagem muito bonita, dá pra levar os cachorros, correr, pedalar. Além disso é bem localizado."
5,Apesar do descaso da prefeitura permanece lindo,"Um dos mais belos parques que conheço em muitos países já visitados. Alia belo paisagismo, lagos, pistas de corrida , locais de eventos, brinquedos, quadras , ciclovia, Etc... Tomara venha logo a privatização e possamos ter lanchonetes e restaurantes dignos e com preços menos extorsivos como os praticados hoje. A escassez de bebedouros também merece registro. Maravilhoso simbolo de São Paulo."
5,Um passeio muito agradável,"O local é simplesmente gigante. É importante antes de ir delimitar o que pretende visitar. Há diversos museus dentro do parte. O parque é para todos. Você pode desde ensaiar uma dança, fazer piquenique, correr, aprender a andar de bicicleta, ir ao museu. Ali você é livre para fazer o que quiser e ser quem você quiser. O local ainda é abastecidissimo de banheiros públicos, aluguel de bicicletas, e muito verde. O estacionamento é o único problema. Pare nas ruas próximas."
5,Maravilhoso como sempre,"Toda vez que visito simplesmente adoro, e os passeios de bike então, tem domingos que passo quase o dia inteiro no parque"
4,Lindo parque,"Otimo lugar para caminhar, correr, pedalar. Também para passear com crianças. Belo lago , arborizado e bem sinalizado. Fácil localização e acesso. Enfim, nada melhor que 1 belo parque numa cidade tão carente de espaços públicos!"
4,O maior parque da cidade,"Democrático, com opções para todos que querem desfrutar de paz e tranquilidade ou não! Vale o passeio pelas pistas de cooper e observar as árvores imponentes e centenárias."
5,Enorme,"Parque enorme, bem cuidado, com vários locais para visitar. Bom para levar as crianças e animais. Vale a pena ir."
4,Passeio agradável ,"Visitamos o parque em 1o Maio. Estava cheio, limpo, com boa oferta de alimentos e banheiro. Além de bem cuidado me pareceu seguro e muito democrático. Passamos a manhã e as crianças divertiram-se. Fomos de táxi, mas há estacionamento no parque. Em dias cheios deve-se chegar cedo para estacionar com tranquilidade."
5,Lugar de lazer ótimo parque ,Gostoso muito do parque tem bastante espaço muitos brinquedos para crianças muito verde Patos lagos adorei recomendo .
5,Dia maravilhoso.,Parque maravilhoso para dar aquela caminhada no final de semana. Muita gente. Local próprio para os cachorros que brincam muito. Só tomar cuidado com as bicicletas que as vezes vão muito depressa.
