bubbleCount,title,text
5,De tudo um muito,O bairro da liberdade é o paraíso para as novas gerações sobretudo aqué las que estão pousadas nas novas mídias tecnológicas. Tem de tudo um muito.... Para todos os gostos. Também tem comidas exóticas.
5,Ponto turístico de excepcional ,"Difícil escolher em qual loja ou restaurante entrar. Encontra-se maquiagens, comidas, roupas, eletrônicos, acessórios e muito mais orientais. Os karaokês são imperdíveis."
4,Lugar de Turismo,"Muitas lojas com produtos do Japão, muitos restaurantes, cafeterias, lugar ideal para compras e passeio."
5,A Rua Galvão Bueno,"A rua Galvão Bueno é a rua popular do comércio de japoneses, chineses e restaurantes. há vários mercados com produtos orientais e muitas galerias com lojas de produtos importados com bons preços. É um lugar muito tranquilo do ponto de vista da segurança. Caminhe tranquilamente sem medo de ser assaltado ou furtado. As lojas de artigos para casa são excelentes, com produtos incríveis. Aos sábados tem feira de comida."
4,Muito interessante,"Estive lá em um sábado,estava bem cheio,a feira que tem lá tem bastante opções da culinária japonesa,pra quem gosta como eu e uma tentação,sem contar as barracas de artesanato que São bem interessante,as lojas então e um paraíso,lá tem de tudo!Vale a pena conhecer!!"
5,Sensacional ,"Muitas opções de restaurantes de diversas nacionalidades, taiwanes, chinês, japonês, coreano, etc... Lojas muito legais com produtos orientais, feira ao ar livre de finais de semana, bares, karaokês, docerias, padarias, livrarias tudo oriental, yakitoris (tipo de boteco japonês) sensacional. Apenas uma dica, se for de final de semana tente ir cedo, pois fica muito cheio."
4,MUITO BOM,"A Liberdade, bairro Japonês, mas que abriga asiáticos de um modo geral, fica próximo ao centro de São Paulo. Bairro muito bom para visitar e fazer compras, especialmente aos sábados e domingos quando é realizada a feirinha da praça. Vale a pena visitar!"
5,Diferente e Divertido,A feirinha tem muita variedade e bons preços. A culinária é boa e o ambiente é tranquilo. Ótimo para um final de semana.
5,Um bom passeio para domingo pela manhã,"O bairro possui boas lojas e mercados com produtos e alimentos japoneses que são de excelente qualidade. Você sempre encontra algo útil para comprar. Há uma feirinha na praça com artesanatos, onde recomendo para comprar colheres de bambu, bonsai, entre outros. Um ótimo passeio para domingo!"
5,Programa Oriental em SP,"O bairro é todo caracterizado com referencias orientais e permeado de excelentes restaurantes e pequenos e médios comércios japoneses e chineses.  Aos domingos feira de rua com comidas típicas, artesanatos tradicionais e apresentações. Em época de comemorações: tais como Ano Novo Chinês, Festivais Japoneses e demais eventos relacionados ao mundo oriental o bairro fica todo enfeitado e repleto de turistas!"
5,Passeio,Lugar incrível. Um pedacinho de outro mundo no Brasil! Shooooow.. Pretendo voltar mais vezes no liberdade!
5,Bairro oriental,"Local excelente para um passeio com a família, com bons restaurantes típicos orientais , lojas de souvenir, produtos típicos e alimentícios japoneses , coreanos e chineses .
Vale a visita e também tem a facilidade do acesso pelo metrô"
4,Gostoso para passear,"Bairro gostoso para passear e várias opções de restaurantes asiáticos.
Aconselho a ler opiniões sobre os restaurantes, já que existem os bons e os mais ou menos."
3,Decepção,"Esperava mais da qualidade das bancas da feirinha, da limpeza do Bairro, da organização e da beleza oriental."
5,Segredos de quem viveu no bairro,"Liberdade tem de tudo um pouco. Desde bugigangas até acessórios para casa importados do Japão, comidas asiáticas tradicionais e as ""adaptações modernas"" (que não aprecio muito), loja imensa de comésticos. Para quem quer conhecer comidas feitas à moda tradicional, tenho várias dicas para a época de frio que se aproxima.Numa rua escondida, a Thomás Gonzaga, travessa da famosa Rua Galvão Bueno, você tem o melhor udon de São Paulo numa casa simplésima e pouco decorada, o Restaurante Ban. Para quem prefere Lámen, recomendo o Kazu Lamen, excelente lamen feito com ingredientes importados e tradicionais, sob comando do chef Maurício (um nissei gente finíssima) e uma sobremesa que vale a pena experimentar: sorvete de chá verde (matchá).Em frente ao Kazu LAmen, tem o Go-Go Karê, pratos à base de tempero indiano ""curry"", feito de páprica, pimenta e outras especiarias, mas é do tipo ""amo/odeio"" para quem nunca comeu, é bem ardido. Já na Rua Galvão Bueno, outro lugar escondico e ""feio"" é o restaurante Korea House e para principiantes eu recomendo o churrasco na calota (Gengis Khan) que é feito na mesa e o Bibimba, cuidado com as conservas e molhos que são hiper apimentados. Descendo a Rua dos Estudantes, outro restaurante pequeno e simples é o Lika Sushi, que tem o chef Lika, um baiano que viveu no Japão e na volta trouxe, além da esposa japonesa, um conhecimento inigualável de culinária japonesa tradicional, o melhor sushi que já provei.Para quem gosta de pastéis, na mesma rua tem a Pastelaria Yokoyama ou deliciosos pães na Itiriki Bakery, oferece vários tipos de pães, mas adoro o pão no vapor. Voltando à rua Galvão Bueno, tem um restaurante sino-japonês, o Banri Katian (Banri da mamãe), pois em frente no endereço antigo, tem o Banri mais comercial, ocidentalizado, junto com a mercearia. Para quem gosta de Anime e Mangá, tem a banca Shimozaki, na praça e uma loja no último andar da galeria SOGO, sempre lotada, com corredores estreitos cheio de lojinhas de ""importabando xing-ling"". Na Praça da Liberdade tem a Livraria e Importadora Sol, com revistas japonesas, livros de artesanato e origami (infelizmente em japonês), materiais de arte e papelaria, mas não abre no fim de semana. Nos fins de semana tem a feira de artesanato na praça, com várias barracas de comidas ""orientais"" e se der sorte, pode coincidir com alguma festividade folclórica tradicional com dança, música, artes marciais, grupos de Taikô etc."
5,O pedaço mais oriental do Brasil! ,"Adoro o bairro da Liberdade! Sempre que vou a São Paulo, tenho que ir lá. Apreciar um pouco da arquitetura estilo japonesa, fazer compras de produtos orientais e comer um tradicional lámen! E se estiver por lá aos domingos, vale a pena conhecer a feirinha, que acontece a partir das 9h, até o fim da tarde, na Praça da Liberdade, logo na saída do metrô. "
4,Viajem na cultura oriental.,"Bairro interessante, com restaurantes e lojas típicas orientais. No domingo tem uma feira na estação liberdade do metro, na praça, que é muito tradicional com comida e atrações diversas."
5,passeio adorável,"para quem gosta de apreciar outra cultura, o bairro da Liberdade oferece parte de uma viagem ao Japão em São Paulo. é possível apenas olhar ou comprar objetos da cultura asiática como: louças, sombrinhas, roupas, panelas e artefatos para cozinha, eletrodomésticos como a panela de arroz, diversas bugingangas decorativas e outras. além disso, ótima comida dessa tradição japonesa é servida em restaurantes, sushis, sashimis, sopas, etc. as ruas são bem cheias porque é um lugar de grande comércio, por isso é melhor usar sapato confortável para caminhar por ali."
5,Atração turística cultural e gastronômica,"Bairro histórico, cheio de imigrantes orientais com suas culturas. Bom para compras de roupas, itens da cultura japonesa, alimentos. Bom para conhecer a cultura, principalmente pelo museu da imigração japonesa. Bom para se alimentar, com centenas de bons lugares com a gastronomia oriental. Um passeio completo."
5,Um pedacinho do oriente em São Paulo,"Liberdade já foi um bairro dominado por japoneses, mas, atualmente, tem muito chinês e coreano. É um excelente lugar para comprar camisas de personagens de desenho japoneses, produtos do importados do Japão (o Mercado Marukai é um deles), mas vai preparando o seu bolso porque os preços são meio salgados. Se quiser apenas comer, também é um ótimo lugar. Sempre tem as barraquinhas vendendo quitutes ou tem mercados, como o Empório Azuki, vendendo guioza frito na hora (e é uma delícia!). Tem muitos restaurante oferecendo rodízio de Sushi. A média de preço é na faixa de uns R$ 55 a 70 reais. Por falar em restaurante, tem vários chinês espalhados pelo bairro, assim como mercados com produtos chineses e coreanos. Detalhe: andando pelas ruas da Liberdade você vai esbarrar num sebo que vende só publicações japonesas. Recomendo a visita!"
5,Delícia de compras,"Lugar maravilhoso para comprar shitake,shimeji e chás a preços bem abaixo de outros mercados. Amoooo"
5,Bairro Oriental ,"Bairro centenário, onde se tem muitas histórias pra contar. Já foi local de execuções em forca, já teve uma revolta, por isso se chama Liberdade. Além de ser o centro de tradições orientais em SP. A tradição nipônica é a predominante, mas encontramos chineses e até coreanos! Lugar de boa comida e de uma feirinha aos domingos. Vale a visita!"
2,Sujo e desorganizado,"Bairro antigo, sujo e mal cuidado.
Embora seja conhecido pela cultura oriental, não tem tanta coisa assim.
Também está ficando bastante perigoso na região do viaduto.
Muita barraca e vendedor ambulante e um cheiro forte de peixe."
4,A Liberdade!,"Num circuito pequeno, porém sempre super lotado de pessoas! Nos finais de semana, aquela feirinha, de produtos simples, porém divertido de olhar!
As lojas de alimentos se superam, com preços competitivos.
Andando um pouco, bons restaurantes de culinária japonesa."
5,O Japão ao seu alcance!,"Ir ao Japão enquanto está em São Paulo. O clima de harmonia no Jardim Japonês, os produtos nas lojas e suas lanternas japonesas suspensas. O Japão é aqui!"
4,Tudo asiático,"O bairro da Liberdade na capital paulista, é um bairro onde os imigrantes asiáticos, principalmente os japoneses, se uniram em moradias e muito comércio de produtos importados da Ásia. Mercearias com todos os tipos de comidas, bebidas, temperos e produtos para cozinhar, uma delícia. A rua principal é decorada com portais japoneses e tem um jardim japonês muito lindo tudo isso sem contar com os maravilhosos restaurantes para todos os bolsos. Aos domingos e feriados fazem uma feirinha de artesanato e comidas japonesas. Dr"
2,Mal cuidado,"Esperava mais pelo que ouvi falar, porém achei ambiente sujo, mal cuidado e não vi muitos pontos de interesse turístico..."
5,Pedaço do Japão em SP,Gastronomia oriental maravilhosa! Recomendo pra quem aprecia a cultura é a gastronomia oriental. Sensacional!
5,lOCAL HISTORICO DA COLONIA JAPONESA,"Excelente local para curtir e conhecer mais sobre a colônia japonesa no Brasil.
Seus quitutes e também os excelentes restaurantes que estão localizados no bairro.
A feira de quitutes é muito legal e você pode degustar vários produtos desta etnia."
5,Bairro Jaonês,"O bairro mais japonês da América latina, é chic, popular, muito gastronômico, muito bem organizado e um paraíso para qualquer turista (belas fotos e muita hospitalidade). Vale a visita!"
4,Arquitetura sem igual,"É muito bacana, tem todo tipo de mercado. Principalmente com produtos orientais. Comidas orientais de todo tipo na feira que acontece no sábado. Amei"
5,Encantador ,"Lugar incrível para se passar o dia, conhecer um pouco sobre a cultura do bairro, suas lojas, restaurantes, um bairro encantador."
5,Vsita pela bairro da Liberdade em São Paulo,"Sempre que possível, vou ao bairro da Liberdade quando em São Paulo. Na praça central, assim que vc sai do metrô, o melhor meio de transporte para lá durante o dia, você já se vê em um ambiente japonês. A decoração no entorno da praça e arredores remete à cultura japonesa e tem as muitas lojas e barracas na praça com mil acessórios práticos ou petiscos deliciosos. Se bater uma fome, o visitante tem à disposição muitos restaurantes, desde mais caros até bem baratinhos com comida japonesa, chinesa, enfim oriental, além é claro de lanchonetes universais . é sempre um passeio gratificante e eu super recomendo !"
5,Muvuca boa,"Feirinha bacana, como produtos artesanais interessantes. Fui no domingo, então estava bastante movimentada. Vale a pena almoçar por ali."
5,Um pedaço do oriente ,"O bairro é um charme, além de ser muito bom para comprar insumos orientais. Adoro comer o tempurá de rua nos domingos."
5,Imersão na Cultura oriental.,"Fiquei encantado pelo Bairro da Liberdade. Fui de Metrô e já sai bem no meio da feirinha. Explorei bem a área, passei pelo jardim japonês, comprei coisinhas típicas e não poderia voltar pra casa antes de comer o pastel de feira e o yakisoba, que diga-se de passagem, É MARAVILHOSO! "
5,Lindo,"Estive em São Paulo e fui visitar o bairro. Adorei o local, muito bonito, muito arrumado. Recomendo a experiência de conhecer."
1,"Local insalubre, restaurantes péssimos. ","Por curiosidade resolvi conhece o bairro da Liberdade. Fui em um dia não muito quente - sorte, porque aquele local em um dia quente deve ser de matar.  Escolhi um restaurante onde pedi um simples tempurá que veio com litros de óleo escorrendo. Se tivesse comido aquilo certamente o colesterol iria em direção à Lua.  Não vá, não vá, não vá. "
5,Cultura em Sampa,Bairro típico japonês que oferece o que há de melhor dessa cultura. Desde restaurantes até lojas com tudo de diferente e típico!! Local maravilhoso e acolhedor!!! Valeu!!!
4,Um pedacinho da China no coração de SP.,Nada de novo para quem mora no RJ e tem um SAARA para chamar de seu. Mas fomos com crianças que queriam visitar as lojinhas e comprar coisinhas chinesas fofinhas. Então foi um sucesso!
5,Um local diferente para passear,O bairro e bem tradicional e de japoneses muito legal fácil acesso e bom para conhecer esta cultura milenar
4,compras produtos de todos os tipos em um lugar só,"Claro que para apreciar a cultura japonesa é um otimo local.  Mas principalmente para se comprar alimentos que nÃo achamos facilmente eM todos os lugares e acima de tudo: MAIS BARATO que qualquer mundo verde. Dando sorte nas promoções, a economia é bizarramente grande. Tipo: manteigas geeh, pastas de amendoim, biscoitos de arroz, cafes organicos, diversos tipos de chocolates e etc,,."
5,Ótimo lugar,"Ficamos em um hotel do lado desse bairro, e todos os dias da viagem fomos passar algum tempo lá. Não é um bairro muito grande, deu pra conhecer bem. Os restaurantes são excelentes, apesar de ter achado alguns caros de mais. Bom pra passear."
5,Experiência interessante ,"Oriente em São Paulo. Lá é possível comprar mangá, comidas e ingredientes típicos, roupas, coisas para casa, cosméticos, quase o que imaginar."
4,Cultura,"Local com grande variedade de produtos orientais. Muito bem sortido, para vários bolsos. Não pode se esquecer da gastronomia, excelente."
5,Lazer,"Gosto de ir aos domingos, tem uma feirinha cultural, comidas típicas em barracas, lojas, restaurantes, conveniências japonesas .
E o lugar é temático, estilo Japão.
Vale muito a pena conhecer 👏😉❤"
5,Liberdade! Cultura!,"Ahhh a Liberdade! Que local TOP! Conhecer um pouquinho da cultura japonesa me fez refletir na beleza do Senhor! Tantas nações, tantos povos, tantas culturas. E eu achando que o mundo girava em torno de pizza e chocolate apenas! Vale cada momento nesse local. As vestimentas, as iguarias, o dialeto, que encantador. Liberdade lhe proporciona uma volta ao mundo onde em cada local você descobre um pedacinho do Japão. Super indico. Não deixe de ir na feira que ocorre aos sábados e domingos, fica ao lado da estação do metrô."
5,Passeios de graça em São Paulo,"Bairro tradional Japones no coração de São Paulo, com comidas, lojas, feira aos domingos com produtos diversos em especial pratos japoneses."
4,Ótimo para quem curte culinária japonesa,"Há muita variedade de culinária japonesa, no estilo feira livre há muitas barracas para comer e mercados com produtos asiáticos e pra quem não gosta da comida japonesa há uma barraca de pastel. Nas barracas também tem artesanatos de todos os tipos. Melhor ir de metrô pois a estação Liberdade é praticamente do lado da feira. A decoração dos postes de rua é muito linda. Não é um passeio caro, mas prepare-se para encarar muita gente e comer em pé."
5,Bairro Japonês no coração de Sâo Paulo,"Um bairro todo em estilo japonês, com comidas típicas, nos mercadinhos do bairro da liberdade também vendem produtos japoneses, aos finais de semana tem feirinha local na praça com artesanato e comidas típicas, é bem cheio o local, tem que ter paciência para comer."
5,Cultura Japonesa !,"O bairro Liberdade é um pedacinho do Japão na capital paulistana ! A feirinha da Liberdade , é bem diversificada , as barracas são compostas lado a lado , com comidas típicas , roupas , artesanato ,flores e diversos outros produtos . Há também uma infinidade de lojas ,o comércio local é bem forte! As ruas Galvão Bueno e Rua dos Estudantes são as principais , onde se destacam os restaurantes , padarias , mercadinhos e lojas de decoração , cosméticos , roupas , utensílios de cozinha , etc ... Muitos vendedores ambulantes oferecem seus produtos ... Enfim , visitei no sábado , e estava lotado de pessoas tanto na feira , quanto nas lojas . O bairro é movimentadíssimo !"
4,Bonito lugar,"O Bairro é bem interessante, as comidas e as lojas ajudam a matar um pouco as saudades do Japão. Não é um bairro muito barato, e tem muitas coisas curiosas.
A feirinha é um diferencial importante aos finais de semana."
5,Passeio imperdível!,"Muita mistura cultural, cheio de lojinhas interessantes, feirinhas com muitas comidas típicas.. O Chinatown brasileiro (Japatown rsrs)"
