bubbleCount,title,text
5,Museu,"Pra quem gosta de arte, vale a pena dá uma conferida nas exposições. Na terça feira o museu é gratuito."
5,Peças de Aleijadinho ,"Ótimo espaço, peças de nível internacional e nesta semana com um grande acervo do Aleijadinho....
Imperdível"
4,Obras do Artista Barroco Aleijadinho,"Visitamos o acervo de peças e esculturas do famoso artista Barroco Antonio Francisco Lisboa o Aleijadinho que deixou suas obras em Congonhas, Ouro Preto e outras cidades em Minas Gerais."
5,Imperdível,"Estando em São Paulo é obrigatório uma visita ao
MASP. Ali estão obras dos melhores pintores do
Mundo. Quadro belíssimos.Deslumbrante!"
5,Muito interessante,"Arquitetura muito bonita e formato de disposição da exposição bem interessante, diferindo do comum dos museus. O entorno do museu parece ser um local com muitas atividades interessantes. Poderia ter uma iluminação externa melhor para o período da noite."
4,Um interessante espaço de cultura em SP,Espaço de arte e cultura que merece ser visitado por todo turista que estiver em SP-capital. A Área do pilotis é diferente de tudo já visto.
4,Muito bom. ,"Esse prédio na Paulista é fascinante. A localização, o espaço, aos domingos a feirinha ao redor é muito interessante. O preço para visitação é $ 35.00 a inteira."
4,Bom,"Um bom passeio para ver de perto obras de pintores consagrados como Portinari, Modigliani, Renoir, Van Gogh, Picasso entre outros, mas achei a entrada cara pelo que ele oferece. A Pinacoteca, por exemplo, me encantou muito mais."
5,A cada visita uma surpresa ,Sempre que vou a São Paulo visito o MASP. Desta última fiquei feliz em ver os suportes de concreto projetados por Lina Bo Bardi de volta ao prédio!
2,Caro,"Visitei a estrutura próximo ao museu mas não cheguei a entrar, pois além de filas o valor é alto para acessar o museu. Na área externa há muitos jovens usando drogas e o mal cheiro é terrível . Não gostei da área externa mas creio que o museu deve ser interessante. Não recomendo ficar na parte de baixo do museu. "
4,Lindo,"O MASP é realmente um oásis na loucura da Paulista. De fato, lá dentro, pouco se escuta da caótica avenida. Possui exposições muito bonitas, com certeza vale a visita."
5,Pausa na caminhada,"Vale a visita pela exposição permanente de obras de grandes pintores brasileiros e estrangeiros. O prédio chama atenção pelo enorme vão livre no térreo, onde no domingo tem a feira de antiguidades."
