bubbleCount,title,text
5,Mercado espetacular; prédio histórico ,"Os vitrais do Mercadão mostram a vida cotidiana rural do início do século XX, extraordinário; as frutas, os peixes, os frios e as carnes do Brasil e do Mundo dão o toque especial aos olhos e ao paladar."
4,Guloseimas pra que te quero!!!,"Local muito interessante:passear admirando a beleza das frutas e conhecer as brasileiras e as exóticas,nos permite perceber quão variado é este mundo. Os feirantes são receptivos e engraçados. Podemos degustar os sabores antes de comprar. E se não comprar, já fez turismo e com a degustação gratuita, vai ter muita história para contar.  Os preços não são baratos,mas sempre dá para comprar algum produto para ajudar a prosperidade do lugar. Há também queijos, bebidas e outras guloseimas para petiscar."
1,Barraca do Juca,"Na frutaria chamada “Barraca do Juca” os vendedores não têm caráter. Fazem tudo bem rápido para você não ter tempo de perceber que estão te passando para trás. Perguntei se tinha siriguela, o vendedor disse que sim, buscou a maior bandeja, foi enchendo, sem me perguntar a quantidade e também não pude escolher. Uma fortuna o preço do quilo, e metade veio podre. Só percebi quando cheguei em casa. Fui enganada, por que tinha a ideia de que lá era um lugar para comprar frutas de boa qualidade e nunca imaginei ser ludibriada ali. "
3,Caríssimo! ,"Lugar interessante, mais os valores dos produtos vendidos são um grande absurdo, poderia ter uma melhor estrutura e valores mais justo!!!"
4,Charmoso ,"Dentro é bonito apesar do caos que é estacionar. Se pensa em fazer economia, melhor ir para outro local.
Lá vale o passeio, que se for mais de 5x por ano pode ser torturante. Comida ok, para compras é possível encontrar produtos diferenciados, quase raros."
3,Perdeu o encanto!,"O mercado de São Paulo é uma grande armadilha para turistas! Perdeu todo o encanto! Precos absurdos pelos produtos oferecidos, que não refletem a cultura local! Tenho como parâmetro o mercado central de Belo Horizonte! Não há comparações! O mercado em Belo Horizonte é muito mais interessante! O dr SP Nao vale a pena!"
4,Vale a pena a visita,"Tire um período do seu passeio para ir ao Mercado! A vista das barracas de frutas enche os olhos, apesar da insistência de alguns vendedores. É um bom lugar para almoçar ou fazer um lanche. O famoso pão com mortadela não é tudo isso, prefiro o pastel de bacalhau. No horário do almoço os restaurantes ficam bem cheios, tente chegar mais cedo."
2,Há tempos não é mais um lugar legal de se visitar,"Diferente do passado, não mais uma boa experiência visitar o mercado municipal de São Paulo. Hoje em dia é pior que feira livre de bairro, os vendedores de frutas te oferecem as coisas quase que te obrigando a come-las, te incomodam, gritam, uma verdadeira bagunça pela venda. De um local histórico e tradicional se tornou uma algazarra pela venda. Uma pena."
5,Deve ser visitado,"Um mercado cheio de cores aromas.
Tapas perpetuas e chopp gelado e bem tirado.
Melhores horários antes das 10"
4,Lugar agradável para um lanche e bom papo,"Ótimo lugar para conhecer pessoas de diferente cultura e para um bom papo, isso se contar sobre a gastronomia de qualidade no centro da cidade!"
3,Não tão icônico assim!,"O Verdadeiro sanduiche de São Paulo, não é o sanduiche de mortandela, nada contra ele, que deve ser um verdadeiro mata fome, com coca-cola, guarana ou café com leite; o verdadeiro lanche ícone de São Paulo é o Pastel, seja ele de pizza, palmito, carne ou queiijo. Lugar bonito e cheio de detalhes no centro de São Paulo"
4,Lugar maravilhoso,"Quem quer passar um dia num ótimo lugar aonde se encontra muita fruta pode vir até o mercado municipal, cara a variedade de frutas e imensa só prepara o bolso porquê não é barato não....."
4,Ótimo pólo cultural e histórico de São Paulo,"Indiscutível o valor do Mercadão à São Paulo. Sua importância na arquitetura, abastecimento, culinária, entre outras. Apesar de estar em um local degradado e há muito esquecido, segue imponente. Mas a Prefeitura não está fazendo sua obrigação. Em minha última visita ele estava sujo, as escadas rolantes quebradas, banheiro do mezanino igualmente. Mas mesmo assim estava cheio e com as atrações de sempre bem convidativas. Ainda assim vale a visita, sempre."
4,"Melhor Sanduba de mortadela de SP, mas cuidado!!!!!!","Local amplo, com muita diversidade, comidas, temperos, frutas , comidas ... Enfim, vale a visita. Infelizmente, existem algumas barracas que te oferecem frutas exóticas para provar, depois ficam insistindo para que você compre, quando você entra pra pagar, te cobram 6 vezes mais pelo produto e forçam você a pagar por isso, juntando 4 ou 5 pessoas la dentro para que se sinta acuado. Cuidado! tirando isso, o pastel de camarão é super recheado, o sanduíche de mortadela Cerati é imperdível."
5,Otimo,Após uma 25 de marco tumultuada.. nada melhor do que comer um.pastel de Câmarao rei nos restaurantes do mercadão.
5,Tem que conhecer!,"Ir à São Paulo e não ir ao Mercadão, não vale! Todo mundo, que for a SP, tem que ir pelo menos uma vez ao Mercadão, programa ícone, que reúne as raízes da cidade."
5,Viciado no Mercadão de de São Paulo,"Aproveitando o feriado prolongando para curtir essa cidade que tanto amo, e curtir Sampa tem passagem obrigatória no Mercadão um local muito emblemática da cidade. Aos turistas só dica quando a bolsas, celulares e máquina fotográfica, nas ruas próximas ao Mercadão e na av do Estado a gangue de bicicleta está praticando muitos furtos, ficar atento é uma ótima dica, existe policiamento na região."
3,Apenas curiosidade,"Como paulistano posso garantir: o mercadão é um enganador de turista. Tudo é mais caro do que deve; a praça de alimentação é supervalorizada, sanduíche de mortadela quente..."
4,Tem seu charme,"O mercadão tem seu charme inegável. É uma ode aos sentidos, os cheiros das frutas, dos temperos e das comidas prontas tbm inundam tudo. Porém nem de longe é o lugar com os melhores preços da cidade. Uma sacolinha com realmente poucas frutas pode te assustar quando te dão o valor a ser pago."
5,Sem bom!,"Visitar o mercadão é sempre muito bom! Experimentamos diversas frutas diferentes e algumas qu já conhecemos mas, com qualidade superior! Super recomendo"
2,Normal,Aconselho a programar sua visita fora de dias de véspera de feriado. Muito cheio. Os restaurantes do mesanino com alguns atendentes stressados e ríspidos. Preste atenção nas barracas de frutas - meu caso. Os vendedores praticamente 'empurram' frutas em você. Você pede uma ou um...
3,NORMAL,"Apesar de ser um local turístico, não tem tanto deslumbramento, oque vale a pena, é provar o pastel de bacalhau e o lanche de mortadela ! Fora isso, um local normal ."
