bubbleCount,title,text
5,Museu do Futebol,O Museu do Futebol é uma excelente opção de entretenimento para familia! Aqui até mesmo quem não curte muito futebol acaba se encantando por toda a história que é contada de forma divertida! Vale a pena conhecer! Um ponto turístico da cidade de São Paulo.
4,Visita no dia da Corrida Circuito da Estações ,"Primeira experiência no museu do futebol em conjunto com o Pacaembú foi através de uma cortesia que recebemos ao participar da corrida circuito das estações etapa outono.  O museu e bem estruturado e me surpreendeu bastante. Bem cara de história com um toque de tecnologia. Me agradou, deu para vivenciar bastante a proposta. Espero que preservem e renovem sempre. Mais uma opção de entretenimento na nossa cidade."
5,Local legal,Muito bonito e hoje terça feira a entrada é franca e ainda no estacionamento do estádio tem uma feira com vários quiosque do pastel de feira
3,Pode melhorar,"Fui ao museu pois meu filho de 4 anos é fanatico por futebol. Ja haviamos ido ao Museu do Futebol em Montevideu, e imaginava algo similar, mas nao. O museu tem um acervo digital muito grande, com varias tv's com opções de gols, narrações, muita interatividade, mas achei um pouco fraco no quesito memorias. Possui uma sala com varios quadros antigos de fotos, mas nao explica muito bem a origem daquelas imagens e a posição dela na nossa historia do futebol. Sinceramente me decepcionei, vi que os uruguaios respeitam e cultivam bem mais a historia do futebol."
4,Excelente passeio para adultos e crianças,"O Museu do Futebol é uma ótima atração para quem gosta de esporte.A interatividade agrada adultos e crianças, desperta curiosidade. É possível viver um pouco da história do futebol neste lugar."
4,sensacional,"Achei surpreendente o museu do futebol. Dinâmico, informativo, moderno e desperta a curiosidade até mesmo em quem (eu) não curte muito futebol. Passamos umas duas horas lá, valeu a pena!!"
5,Legal,"O museu tem ingresso de R$ 12,00. Gratuito às terças. O museu está bem conservado, moderno e bem interessante. Vale o passeio até pra quem não é muito fã de futebol."
5,Sensacional,"Local muito bem sinalizado, compartimentos bem distribuídos, realmente conta a história do nosso futebol."
5,Viagem ao melhor do futebol ,"O museu proporciona uma experiência incrível aos visitantes Q desejam conhecer um pouco mais sobre o futebol. Não se trata apenas de uma exposição e sim de uma experiência, aos sábados tem oficinas para as crianças. Estacionamento é pago via zona azul, porém há muitos flanelinhas no local. Vale a pena aproveitar para degustar um delicioso pastel,do Zé e da Maria São premiados. "
5,Excelente,"Imperdível para os amantes de futebol e mesmo para os não amantes, com diversos ambientes que contam a história do futebol brasileiro e, também, um pouco da história do Brasil! Preço justo para o que oferece (12 reais a inteira). Recomendo muito!"
4,Surpreendente,"Estive com minha filha no estádio do Pacaembu para comprar ingressos. Quando fomos pegar o carro, passamos pelo museu do futebol. Entramos. Realmente me surpreendeu pelo cuidado, interatividade e informações. Não sou muito de futebol, mas passei um bom tempo lá dentro. Que gosta do esporte, irá gostar do museu também."
3,Nada demais ,Este museu aos primeiros olhos é um lugar único porém é tudo muito simples sendo um lugar que não se pensa em voltar duas vezes. Não recomendo e se não gosta de futebol não passe nem perto. CHATO
5,Ótimo para os amantes do futebol,"Um museu interativo e cheio de detalhes sobre o maior esporte do mundo. Emocionante rever gols marcantes, relembrar as conquistas e ler um pouco mais sobre as curiosidades desse esporte que encanta gerações. Por fim, tem ainda uma bela vista do histórico Pacaembu."
4,Muito bom,"O museu é muito interessante, bem organizado, com muita informação e interatividade. Vale a pena a visita !"
5,Ótimo passeio para quem gosta de futebol ,"Fomos num sábado fazer a visita ao Museu do futebol. Neste dia oferecem uma visita guiada ao estádio do Pacaembu que apesar de antigo tem o seu charme. E aprende-se varias curiosidades históricas . O museu tb é bem interessante e fala do esporte, sua evolução, das bolas, chuteiras, curiosidades do esporte e seus craques!"
3,Normal,"Achei bem bonito, gostei muito dos efeitos sonoros, mas esperava mais do lugar. Gosto de ambientes que podemos interagir junto, e tem poucas atividades interativas."
2,Entediante mas cultural,"Fazer o quê, não é mesmo? Afinal, não é novidade que história em nosso país não seja tão querida. O Museu é bom, bem equipado, conta com guias profissionais. Para quem gosta de futebol é um ótimo passa tempo, porém para os agregados, o que foi meu caso, ganhei bolhas nos pés e muito sono."
5,Olé,"O local é maravilhoso e mesmo aqueles que nada entendem de futebol amaram ( caso da minha esposa). Os garotos ficaram maravilhados, aprenderam muito sobre a história deste esporte bretão e puderam interagir numa partida e cobrando pênalti."
