bubbleCount,title,text
5,"Se não visitou, visite","Seja de dia, de noite, semana, sábado ou domingo ( quando ela fecha para carros), a Paulista é sempre uma boa opção de cultura, gastronomia, lazer, negócios e religião( lá no final temos a igreja São Luiz Gonzaga).  O simples passeio para observação da bela arquitetura dos prédios já é uma boa. Bem servida por muitas estações de metrô, a melhor opção é o transporte público. Um grande shopping também é opção de lazer bem como o parque Trianon, em frente ao museu MASP. Comparável a Champs em Paris e a 5ª em Nova York."
4,"Tudo acontece lá, principalmente no domingo",É o cartão postal de São Paulo. No domingo fica fechada para circulação de carros e é uma festa. todos os tipos aparecem para uma passeio.
5,A Avenida de São Paulo,"A Av Paulista é um dos ícone de São Paulo. São várias atrações culturais, restaurantes no seu entorno, cartões postais como o MASP, etc"
5,"TODOS PASSAM RAPIDAMENTE, MAS HÁ QUE SE CAMINHAR DEVAGAR","A Avenida Paulista é ela. É ela e nada mais. É como aquela mulher linda que passa por você e tem de ser admirada. Mas admirada sem pressa, fingindo-se que não está se olhando. Essa é a Paulista.  A Paulista é o termômetro da terra da garoa. Se há passeata tem de ser na Paulista, passar pela Paulista, começar pela Paulista ou terminar na Paulista.  Ela é um mundo de cultura, escritórios e, no mês de dezembro, o que manda é a decoração natalina que a torna mais bonita, embora não seja necessário. A Paulista é assim. Há que nela se passear, não passar rapidamente. E mesmo se indo para o trabalho, nela há que se caminhar devagar."
5,Espaço multi-cultural,"Lugar muito bom para passear, andar de bicicleta e se divertir aos domingos. Durante a semana é um lugar de negócios mas você pode usar a ciclo-faixa para passear ou se exercitar de bicicleta."
4,Lugar maravilhoso!!!,Pra quem for a São Paulo é quase obrigação ir na avenida Paulista. Lugar muito movimentado e repleto de gente bonita e lugares bacanas!
5,Cartão postal da capital,"Tudo acontece na Paulista. Ela retrata fielmente o que é a cidade de São Paulo - durante a semana, aquela correria dos pedestres, gentes de todas as classes sociais e culturais, e de todas as raças. Também artistas de rua, poetas, protestos e por aí vai. Ali, como centro financeiro têm bancos e empresas do ramo, escritórios de todo tipo de atividade e ainda shoppings centers, centros culturais, restaurantes, bares, escolas, museus, teatros e comércio variado. Domingo a avenida é aberta aos pedestres durante o dia e é invadida por todo tipo de pessoas de todas as idades, convivendo harmonicamente com os ciclistas e skatistas que têm espaço reservado. Neste dia muitos artistas de rua se apresentam, além dos principais shows na frente do prédio da Fiesp. Atração ímpar, ir a São Paulo e não conhecer à Av. Paulista é a mesma coisa que ir ao Rio de Janeiro e não visitar o Cristo Redentor."
5,Visita de final de semana,Fui um domingo pós plantão a tarde. Amei. Esta disponível para atividade físicas. Maravilhosa a ideia. Super recomendo para todas as idades.
4,Tem de tudo,"Amo a avenida Paulista!
Um lugar onde se tem de tudo, tanto na avenida quanto nas redondezas.
Fácil acesso de condução.
Liga gostoso para andar a pé.
É onde você pode trabalhar, fazer compras e correr no parque."
4,Coração de São Paulo,"A Av. Paulista é eclética. História, cultura, negócios, lazer, culinária, arquitetura e reúne expressão diversas de São Paulo, Brasil e mundo, pois além de oferecer pontos turísticos, oferece pontos de encontros."
5,Maravilhosa,"Domingo na Paulista é diversão garantida. Lugar mais democrático q conheço, pessoas de todas as tribos dividindo harmoniosamente o mesmo espaço. Vale a pena, excelente passeio."
