bubbleCount,title,text
4,Há cultura e arte em São Paulo,"Já fui duas vezes na Pinacoteca em situações diferentes e tive a oportunidade de apreciar duas mostras muito interessantes.
O local é bem estruturado, limpo, organizado, o acervo é interessante e valoriza nossa história e cultura."
5,Aquele passeio do fim de semana,"Todo tipo de arte junto num só lugar numa arquitetura rustica linda. Vale a visita, é pago mas tem um dia da semana q é gratuito. Dá pra passar a tarde vendo o lugar, ao lado ainda tem um jardim e um café."
5,Dedique um tempo no local,"Excelente ambiente, bem iluminado, climatizado e com belas exposições, além da arquitetura do local também ser agradável. Vale a pena dedicar um tempo na visita."
5,Passeio cultural,"A pinacoteca tem um acervo invejável com obras de artistas clássicos brasileiros e que retratam o Brasil. Pude apreciar quadros de Portinari, Tarsila do Amaral, lasar Segal, Anita Malfati dentre outros. Reserve pelo menos duas hora para o passeio, ideal três para observar todas as obras. Além das obras o prédio da Pinacoteca é lindo! Fui sozinha mas quero levar meu marido da próxima! Vale a visita mil vezes! O valor do ingresso é seis reais."
5,Um dos melhores museus de São Paulo ,Um dos melhores acervos de São Paulo. Vou lá desde pequeno e não me canso de ir. Próxima ida a cidade vou novamente.
2,Esperava mais ... ,"Já na chegada você fica em uma fila enorme para comprar ingressos. R$ 6,00 a inteira. Quando você passa pela porta de detector de metais; você descobre que não precisaria pagar nada, pois só querem te revistar e se quer pedem o ingresso.  Por fora lindo ... por dentro algumas belas artes, esculturas maravilhosas. Quando você imagina que vai aquele jardim Top, TRARAMMM ,! Não pode ir Rsrsrsr. No meu ponto de vista, não vale a pena. Tem passeios melhores. Não perca seu tempo. O tour virtual pelo site é a mesma coisa. Salvo ter uma exposição muiiiiito boa ."
5,Vale a visita,"Lindo prédio, com arquitetura incrível. Algumas obras importantes, muitas bonitas, outras, nem tanto, mas tudo é cultura."
5,maravilha,"Visitei pela primeira vez em 2018 a Pinacoteca e me encantei: duas excelentes exposições, loja com ótimos livros, cafeteria, banheiros, atendimento ótimo, mas também vi a belíssima e impressionante escultura de Tunga colocada no interior. A arquitetura deste lugar, antiga e sólida, recebeu reforma inteligente que respeitou sua qualidade deixando este espaço interior aberto, com pé-direito muito alto, tudo em tijolo antigo aparente, de onde se pode vislumbrar todos os andares. Neste espaço aberto a escultura colocada no primeiro piso ficou exposta de forma a se desfrutar percebendo sua dimensão espetacular. Um espaço imperdível para quem vai visitar São Paulo."
5,vale a visita pela exposição e pelo local!!,"Lindo museu, sempre com ótimas exposições. O ambiente é super descontraído. Vc pode andar pelo espaço para apreciar as obras , os móveis os janelões. Tem uma boa lanchonete com pequenas interessantes refeições."
5,Sr,"Local muito bom e aprazível,com conforto e obras de arte magnificas ,com atendimento excelente e a um preço muito bom."
5,Excelente e inesquecível,"Junto ao MASP e ao MAC, foi um museu excelente e inesquecível que pude conhecer em SP. O ingresso é 6 reais (inteira) e há 2 grandes andares com muita arte, o acervo permanente é incrível por si só e tem a proposta de realizar um panorama da arte brasileira (do período colonial até a arte contemporânea), com maior destaque aos artistas do período 1850-1950. E as temporárias são diversas, também variando quanto à proposta e o período histórico. No fim, sei que pude conhecer muita coisa interessante por lá... O museu tem um caráter mais interativo e reflexivo, o que também é legal e ajuda a construir um maior contato com o público. Se você não liga muito pras artes, vale a pena dar uma olhada e conhecer um pouco da arte nacional, talvez te desperte maior interesse em algum tipo de arte específica... E se gosta de arte, não tem erro: separe ao menos 3h para conhecê-la, a Pina é inesquecível! Sim, e almocei no restaurante que fica no subsolo (Flor Café), achei o preço justo, os atendentes simpáticos e a comida era de boa qualidade, fica a dica se tiver pelo museu."
4,Lugar muito belo e bem cuidado,"Um local lindo, bem preservado e mantido. Pena que as crianças não tenham muitas atividades interativas para participar, mas mesmo assim um passeio que as edifica. A parte que mais atrai as crianças são as maquetes. Para escolas e excursões acho que é mais legal pois podem acompanhar os processos de restauro de obras de arte.  Para os adultos, cada coleção é uma viagem a um tipo de arte diferente. Vale a pena demais. O custo é baixo e o local precisa ser conhecido."
3,Cultural,"O passeio depende muito da exposição que esta sendo apresentada, caso contrario é um pátio com uma edificação sem muito atrativo."
4,"Uma das melhores atrações de Arte, Cultura e Arquitetura em São Paulo","A Pinacoteca é um museu de arte em que predominam pinturas, e também belas esculturas. Apresenta obras de artistas nacionais e internacionais, com arte clássica, moderna e contemporânea.  Conta com um excelente acervo permanente e também costuma ter exposições temporárias de grande categoria.  O acesso é fácil, detrem ou metrô, estação Luz. Para os deficientes há um elevador especial no metrô, para não ter que subir as escadas. Apertando o botão, vem um funcionário acionar o elevador.  Já a própria Pinacoteca tem um pequeno estacionamento com vaga para deficiente (obrigatório o uso do cartão Defis). Como o estacionamento é pequeno, recomendo não levar o carro, a menos que tenha pessoa com deficiência, pois há risco de não encontrar vaga. É melhor deixar estacionado próximo ao metrô, usar esse transporte e sair da estação já na porta do museu.  A Pinacoteca tem também o atendimento preferencial para deficientes, dando prioridade na entrada e acesso interno especial, para não enfrentar muitas escadas.  O preço do ingresso é acessível, cerca do dobro do preço de uma passagem de ônibus.  O edifício em si tem uma arquitetura interna interessante, com complementos como janelas, contornos, vasos e esculturas permanentes muito interessantes.  Conta também com um estabelecimento para uma alimentação básica e bebidas.  É um belo programa para a família toda. Um lugar para ir mais de uma vez."
5,imperdível,"pinacoteca é uma reunião de quadros com exposição fixa das diversas épocas do brasil e com exposições temporárias. o ambiente é maravilhoso, valeria a visita so pela arquitetura e pela historia, mas os quadros são também incríveis, tem que ir."
5,Arte,"Além das exposições e do ótimo acervo da pinacoteca, o prédio em si já valeria o passeio e a visita, tem estacionamento, além de ser ao lado da estação da luz. Sábado a entrada é gratuita e o estacionamento também."
4,Passeio de sábado,"Lugar bonito para passar uma tarde. Conheça o café no piso térreo e aproveite par tomar um vinho nas mesinhas da varanda, com o visula do parque e som dos passarinhos."
5,continua valendo muito.,"Fomos esse final de semana, sábado (que a entrada é gratuita) à pinacoteca do estado, vimos uma exposição da Hilma af klint, excelente por sinal. sempre vale a pena, retornar a pinacoteca."
5,Muito bacana a exposição Klint,Prédio super bem conservado. Instalações são lindas e o local extremamente agradável. Levamos 2 crianças de 8 anos que curtiram bastante a visita! A amostra Klint está bem bacana
3,Esperava mais,"Vi tantas avaliações excelentes, que acho que fui com grandes expectativas e acabei me decepcionando. Não achei uma programação imperdível para quem está com pouco tempo para conhecer a cidade."
5,Incrível!! Incrível exposição!!,A pinacoteca é um lugar com uma arquitetura incrível. As exposições são muito boas. O café muito bom e um ótimo lugar para fotos.
4,"Bom mas, nem tanto ","Um museu de arte muito grande e repleto de exposições, para quem aprecia arte é um local imperdivel. Muito organizado, e com guias para poder dar informações."
4,Diversidade cultural,"Lugar bem charmoso, com arquitetura muito interessante e com exposições variadas. Um programa cultural interessante."
5,Exposição de arte,"Ótimo espaço cultural com varias opções de lazer e educação para jovens, crianças e adultos. O café também é ótimo e agradável."
4,Preservada ,Não conhecia até este ano. Gostei da intervenção de Paulo Mendes da Rocha no edifício. Passeio agradável pelas galerias internas
5,passeio indispensável,"exposições bem cuidadas, restaurante ótimo, excelente programa para solteiros, casais, famílias. Tudo de bom, ao lado do metrô Luz"
4,Variedade cultural.,"Vale muito a pena visitar. Algumas obras brasileiras como Tarsila do Amaral, Volpi entre outros.
Mistura de exposições modernas e outras épocas."
5,Passeio rico e agradavel,"Adorei a visita, alem das exposicoes temporarias, o acervo é bem interessante e o local alem de lindo é agradavel. Custa 6,00 a entrada. Recomento o passeio!"
5,Espaço imperdível para quem gosta de cultura,"Aliando espaços abertos com galerias fechadas, a pinacoteca é um local super agradável. Exposições bem montadas, é grátis aos sábados. Pode-se ver tudo em uma hora ou 3 se quiser ver atentamente!"
5,Uma jóia,"A Pinacoteca é dos meus lugares favoritos, na cidade, sempre com uma exposição fascinante. O jardim, ao seu entorno, torna a visita ainda mais especial, além de estar a poucos metros da Estação da Luz (Museu da Língua Brasileira) e do Mercadão. Estando na cidade, não deixe de visitar!"
5,Esplêndido,"Lugar incrível, de arquitetura exuberante e com milhares de obras expostas. Muito bem cuidado também. Visita obrigatória na cidade."
4,Cuidado,"Visitamos quatro museus em São Paulo e esse foi o meu favorito. Curadoria excelente, ótimas exposições, gostei especialmente do espaço dedicado a aproximar o público das técnicas usadas em museus. Porém é preciso ter cuidado ao visitar porque o local é muito perigoso. Quando estávamos saindo um homem armado veio andando em nossa direção, felizmente eu e meu namorado conseguimos correr para a estação de metrô. Por causa disso não posso recomendar a ida até o museu, uma pena. "
5,Maravilhoso,"A Pinacoteca possui vasto acervo que, para ser visto com calma, gastasse muitas horas. Possui fácil acesso pelo metrô da luz. O prédio da Pinacoteca tem uma linda arquitetura."
4,pra quem gosta,"è um ótimo passeio cultural, tem um acervo mt rico, facilmente vc gasta umas 2hs por lá e o ingresso ainda dá direito ao Memorial da resistencia."
5,Imperdivel,Domingos e feriados a entrada é gratuita. Nao ha desculpa para nao ir. Exposicoes lindas e o predio uma fantastica construçao. Nao deixe de ir! Em frente a estacao da luz q é linda!
4,Lindo lugar,"Lindo lugar, com diversas obras muito lindas. Uma pena que não tive tempo de ver tudo, mas vale a visita, com certeza, e por apenas R$6, podendo pagar meia, R$3. Vale a pena."
5,Beleza e organização!,"Prédio com estrutura muito bonita.
Exposição de vários pintores nacionais e internacionais. Muito importante e instrutivo conhecer essa bela pinacoteca."
5,Conhecimento,"Gostamos muito do passeio , pois tive a oportunidade de conhecer obras de artes que nunca tinha visto antes.
Local bem cuidado e agradável."
5,Patrimônio cultural,"Um lugar muito bonito e exuberante pela sua estrutura física e suas riquezas de detalhes. O atendimento é muito bom, funcionários atenciosos e prestativos."
5,"Pinacoteca - é arte, é vida","A Pinacoteca é um excelente lugar para mergulhar em arte e cultura, além de proporcionar lazer. Sempre tem mostras lindíssimas. No final, para relaxar, vale a pena tomar um café no Flor Café - Pina Luz, com vista para o parque da Luz. Fui duas vezes à Pina e posso afirmar que ambas foram maravilhosas, pois estive super acompanhado num lugar cheio de espaços que nos proporcionam lindas emoções, tanto pela arte quanto pelas relações humanas. "
5,Prédio Lindo! Exposições maravilhosas!,Pra quem gosta de arte é um lugar imperdível em São Paulo. Fica pertinho da estação da Luz então vale a parada pra tirar fotos na mesma.
5,Adoro,"Sempre gosto de ir a pinacoteca, bem mais que ao MASP. Gosto mais do tipo de arte e se vc aprecia quadros e esculturas vale muito a pena, além do ambiente muito gostoso."
5,Um marco cultural ,"Lunda construção , abriga acervo grande de obras dos principais artistas brasileiros. Estão expostas obras de Tarsila Amaral, Rubens Guerchman, Di Cavalcanti, Iberê Camargo, Lígia Clark e tantos outros nomes. As exposições temporárias também são fantásticas."
5,Arte é arte!,"Vá com tempo suficiente para apreciar todos os trabalhos da casa. O lugar é belíssimo, ótimas fotos, um passeio cultural bem interessante."
5,Lugar maravilhoso,"Tive o prazer de conhecer o espaço juntamente com meu filho para um trabalho de escola.
Maravilhoso o espaço"
5,Mais do que um museu,"Excelente local, tanto pelas exposições temporárias como o acervo permanente. Sem falar no passeio pelo Parque da Luz, no entorno do Museu, pelo seu traçado e escilturas a céu aberto."
5,Lindo ,"Lindo por fora e por dentro com varias obras. Jardim lindo. Local limpo, funcionários educados. Tem uma cafeteria e uma lojinha bem interessante."
5,Com certeza você vai achar uma estátua que você goste,"Bom dica sábado a entrada é gratuita,o lugar é lindo desde a arquitetura clássica,passando por obras de Anita Malfatti,e muitos outros,o meu lugar preferido e o terceiro andar onde ficam as estátuas do clássico só moderno você vai achar uma estátua que goste depois de andar pelos corredores e salas amplas duas paradas obrigatórias lojinha,leve um mimo em que seja um ímã ou broche,e no último andar a lanchonete a brusqueta (pão com tomates frescos e ervas ),e ótima e peça um suco para dar um descanso aos pés e passear no parque da luz ao lado."
5,Melhor Museu da cidade,"Meu museu preferido em São Paulo e de quebra, ao meu ver o melhor e mais bem localizado. Só a fachada já é uma obra de arte!"
5,Arte pura!,"Fui à Pinacoteca para visitar a Mostra de Hilma af Klint: Mundos Possíveis. A mostra é desta pintora sueca, no campo da arte abstrata..... fabulosa mostra. A Pinacoteca é um dos locais mais bonitos e conchegantes de cultura de São Paulo. Local sindo, impecável, com enormes salas, excelente livraria.... enfim..... um local a ser visitado sempre. "
5,Grata surpresa,Um passeio que vale muito a pena fazer mesmo com todos problemas no entorno da Pinacoteca com relação a moradores de rua e etc. Apenas devemos ficar atentos e vigilantes.
5,Perfeito para um passeio de domingo....,"Lugar perfeito para um passeio de domingo! Crianças e adultos podem se divertir e aproveitar a visita. Fomos como nosso filho de 5 anos, que adorou! Existe um espaço dedicado às crianças, com monitores e atividades, que não permitem que os pequenos fiquem entediados. Classificação: BOM e BARATO!"
4,Surpreendente!,"Localizada em em antigo edifício, muito bonito, possui exposições permanentes e temporárias. Luz natural que inunda o local, salas de exposições interativas, funcionários muito atenciosos. Visita bacana para crianças maiores e adultos."
5,Muito bom!,"Excelente ´passeio aos apreciadores de arte. Fui há alguns meses atrás e agora de volta à cidade de São Paulo, não pude deixar de revisitar esse museu. Recomendo muito, pois seu acervo é esplêndido!"
5,Volta ao tempo no meio da cidade grande,"Ao entrar no templo das artes você é levado a um outro patamar, seja pelo prédio em si, e pelas artes expostas. Vale a pena tomar um café antes de sair e visitar o Parque da Luz onde fica localizado a Pinacoteca."
